feature	RBG.13.54.9.Genus	Meiothermus	Deinococcus	WPS.2.Genus	KD4.96.Genus	Caldilineaceae.Genus	Lineage.IIb.Genus	SBR1031.Genus	JG30.KF.CM45.Genus	Candidatus.Obscuribacter	Obscuribacteraceae.Genus	Vampirovibrio	Vampirovibrionaceae.Genus	Frankiales.Genus	Nakamurella	PeM15.Genus	Longivirga	Gordonia	Corynebacteriales.Genus	Nocardia	Nocardiaceae.Genus	Smaragdicoccus	Mycobacterium	Rhodococcus	Nocardioides	Brevibacterium	Agromyces	Leucobacter	Glutamicibacter	Kocuria	IMCC26207	Microtrichales.Genus	Iamia	Acidimicrobiia.Genus	IMCC26256.Genus	Microtrichaceae.Genus	Gaiellales.Genus	X67.14.Genus	Conexibacter	Thermoleophilia.Genus	Gaiella	Clostridium.sensu.stricto.3	Clostridium.sensu.stricto.13	Clostridium.sensu.stricto.9	Paraclostridium	Thermoactinomycetaceae.Genus	Peptostreptococcus	Geothermomicrobium	Cetobacterium	Brevibacillus	Ligilactobacillus	Limosilactobacillus	Lactobacillus	Weissella	Streptococcus	Carnobacterium	Vagococcus	Enterococcus	Staphylococcus	Bacillus	Geobacillus	Planococcaceae.Genus	Exiguobacterium	Brochothrix	Holophagaceae.Genus	Kapabacteriales.Genus	Candidatus.Amoebophilus	Barnesiellaceae.Genus	Flavobacterium	Chryseobacterium	Cloacibacterium	NS9.marine.group.Genus	AKYH767.Genus	Sphingobacteriales.Genus	env.OPS.17.Genus	Fluviicola	Chitinophagales.Genus	Dinghuibacter	Chitinophagaceae.Genus	Sediminibacterium	Ferruginibacter	Terrimonas	Aurantisolimonas	Flavihumibacter	Saprospiraceae.Genus	Haliscomenobacter	Bacteroidia.Genus	Cytophagales.Genus	Cytophaga	Microscillaceae.Genus	Hassallia	OLB12	Runella	Fibrobacteraceae.Genus	Babeliales.Genus	Vermiphilaceae.Genus	Babeliaceae.Genus	BD7.11.Genus	Verrucomicrobiaceae.Genus	Pedosphaeraceae.Genus	DEV008	Chthoniobacter	Verrucomicrobiae.Genus	Luteolibacter	Methanobacteriaceae.Genus	Opitutaceae.Genus	Saccharimonadales.Genus	ZOR0006	Armatimonadota.Genus	Defluviicoccales.Genus	Candidatus.Alysiosphaera	A0839.Genus	Hirschia	Polymorphobacter	Magnetospirillum	Novosphingobium	Sphingopyxis	Sphingorhabdus	Rhizorhapis	Rhizobiaceae.Genus	alphaI.cluster	Alsobacter	Mesorhizobium	Mycoplana	Pseudochrobactrum	Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium	Shinella	Hyphomicrobium	Pedomicrobium	Methyloligellaceae.Genus	Bauldia	Devosia	Alphaproteobacteria.Genus	Rhizobiales.Incertae.Sedis.Genus	Nordella	Xanthobacteraceae.Genus	Phreatobacter	Aminobacter	Rhodobacteraceae.Genus	Defluviimonas	Tabrizicola	Gemmobacter	Pseudorhodobacter	Paracoccus	Phenylobacterium	Caulobacter	Bosea	Beijerinckiaceae.Genus	Pseudorhodoplanes	Afipia	Fodinicurvataceae.Genus	Novispirillum	Elstera	Roseomonas	Rhodovarius	Rhodovastum	Rhodospirillales.Genus	Reyranella	Holosporaceae.Genus	Caedibacter	Oligoflexaceae.Genus	Candidatus.Megaira	Rickettsiaceae.Genus	Bacteriovoracaceae.Genus	Bdellovibrio	OM27.clade	X0319.6G20.Genus	Desulfobacterota.Genus	MBNT15.Genus	Sandaracinaceae.Genus	mle1.27.Genus	Haliangium	Anaeromyxobacter	Blfdi19.Genus	Pajaroellobacter	Phaselicystis	Aetherobacter	Polyangia.Genus	NB1.j.Genus	P3OB.42	SAR324.clade.Marine.group.B..Genus	Desulfobulbus	Candidatus.Berkiella	Candidatus.Competibacter	Ahniella	Stenotrophomonas	Luteimonas	Sulfurifustis	Chitinibacter	Chitinilyticum	Sutterellaceae.Genus	Rheinheimera	Undibacterium	Neisseriaceae.Genus	Leeia	Burkholderiales.Genus	AAP99	Azospira	Dechloromonas	Candidatus.Accumulibacter	Dechlorobacter	Zoogloea	Rhizobacter	Inhella	Comamonadaceae.Genus	Curvibacter	Hydrogenophaga	Ideonella	Rubrivivax	Aquabacterium	Paucibacter	Nitrosomonas	Crenobacter	Chitinivorax	TRA3.20.Genus	IS.44	SC.I.84.Genus	A21b.Genus	Nitrosomonadaceae.Genus	Achromobacter	Cellvibrio	Shewanella	Vibrio	Aeromonas	Plesiomonas	Burkholderia.Caballeronia.Paraburkholderia	Citrobacter	Gammaproteobacteria.Genus	Pseudomonadales.Genus	Porticoccus	Pseudomonas	Diplorickettsiaceae.Genus	Coxiella	Aquicella	Candidatus.Ovatusbacter	Legionella	CCM19a.Genus	Ga0077536.Genus	Steroidobacter	Steroidobacteraceae.Genus	X.Agitococcus..lubricus.group	Acinetobacter	OM60.NOR5..clade	Turneriella	Gemmatimonadaceae.Genus	Vicinamibacteraceae.Genus	Subgroup.17.Genus	Chlamydiales.Genus	Neochlamydia	Parachlamydiaceae.Genus	Candidatus.Protochlamydia	Chlamydiaceae.Genus	Simkania	Leptospirillum	Bryobacter	Paludibaculum.Genus	Nitrospira	SH3.11	Oikopleura	X11.24.Genus	JGI.0001001.H03	SM1A02	CL500.3	Planctomycetota.Genus	Pirellulaceae.Genus	Pir4.lineage	Planctomycetes.Genus	Pirellula	Rhodopirellula	Blastopirellula	Planctomycetales.Genus	SH.PL14	Schlesneria	Gemmataceae.Genus	Gemmata	Fimbriiglobus	Telmatocola	Tundrisphaera	Isosphaeraceae.Genus	OM190.Genus	vadinHA49.Genus
RTF011	0	0	0	0	0	0	0	0	4.40654813052196e-05	0	0	0	0	0	0	0.00400995879877498	0	0.00248969969374491	0	0.00350320576376495	0	0	0.00740300085927689	0	0	0	0	0	0	0	0	0.000220327406526098	0.000132196443915659	0	0	0	0	0	0	0	0	0	0	0	0.00830634322603389	0	0	0	0.619340339744861	0	0	0	0	0	0	0	0	0	0	0.00319474739462842	0	0	0	0	0	0	0	0.0155330821600899	0	0	8.81309626104391e-05	0	0	0	0.0013439971798092	0	0	0.00251173243439751	0	0	0	0	0.00132196443915659	0.000705047700883513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000550818516315244	0	0	0	0	0	0.113755039989424	0	0	0	0	0	0	0	0	0	0	0	0.00193888117742966	0	0	0	0.00332694383854408	0	0	0	0	0	0	0	0	0	0.00213717584330315	0	0	0.00506753035010025	0	0	0.000242360147178708	0.00094740784806222	0.0389759182144667	0	0	0	0	0.00156432458633529	0	0	0	0	0	0	0	0	0.000528785775662635	0	8.81309626104391e-05	0	0	0	0	0	0	8.81309626104391e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0051776940533633	0.00678608412100381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000242360147178708	0	0.00535395597858418	0	0.00094740784806222	0	0	0	0	0	0	0	0	0	0	0.10443519069337	0.023993654570692	0	0	0.000638949478925684	0.000352523850441756	0	0.000352523850441756	0	0	0	0	4.40654813052196e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000440654813052196	6.60982219578293e-05	0	0	0	0	0	0	0	0.00403199153942759	0	0	0	0	0	0	4.40654813052196e-05	0	0	0.000110163703263049	0	0	0	0	0	0.0072047061934034	0	0	0	0.000418622072399586	0	0	0
RTF012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143352466419976	0.00032050348183328	0.00434136534483261	0	0.00830395384749862	0	0	0.0127327292328312	0	0	0	0	0	0.000233093441333294	0	0.00238920777366627	0.00236007109349961	0.00180647417033303	0	0	0	0.000145683400833309	0.000611870283499898	0	0	0	0	0	0	0.0104309314996649	0	0	0	0.396637627108767	0	0	0	0	0	0	0	0	0	0	0.00314676145799948	0	0	0	0	0	0	0	0.032225168264328	0.000670143643833222	0	0.00142769732816643	0	0	0	0.00116546720666647	0.0051863290696658	0	0.0154715771684974	0	0	0	0	0.0126453191923312	0.00195215757116634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00448704874566592	0.000262230121499956	0	0	0	0	0.126511465283646	0	0	0	0	0	0	0	0	0	0	0	0.00445791206549926	0	0	0	0.00681798315899886	0	0	0	0	0	0	0	0	0	0.00343812825966609	0	0	0.0249992715829958	0	0	0.00145683400833309	0.00504064566883249	0.109612190786982	0	0	0	0	0.0028262579761662	0	0.00032050348183328	0	0	0	0	0	0	0.00180647417033303	0	0	0	0	5.82733603333236e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000524460242999913	0	0	0	0	0	0	0.00399172518283267	0.0268931557938289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000466186882666589	0	0.0339733690743277	0	0.00349640161999942	0	0	0	0	0	0	0	0	0	0	0.0424521430028263	0.0134028728766644	0	0	0.00151510736866641	0.00431222866466595	0	0.000699280323999883	0	0	0	0	0	0	0	0	0	0	8.74100404999854e-05	0	0	0	0	0	0	0.00474927886716587	0.000174820080999971	5.82733603333236e-05	0	0	0	0	0	0	0.013956469799831	0	0	0	0	0	0	0.000145683400833309	0	0	0.000407913522333265	0	0	0	0.000932373765333178	0	0.0264561055913289	0	0	0	0.000670143643833222	0	0	0
RTF013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018522607394323	0	0.00179092760236501	0	0.00571624837467187	0	0	0.0154804837957852	0	0	0	0	0	0.000269865803096097	0	0.00183999411201884	0.00183999411201884	0.000907730428595962	0	0	0	0	0.00034346556757685	0	0	0	0	0	0	0.00772797527047913	0	0	0	0.469198498564805	0	0	0	0	0	0	0	0	0	0	0.00311572336301857	0	0	0	0	0	0	0	0.0398910723485685	0.00252692524717254	0.000220799293442261	0.00100586344790363	0	0	0	0.00240425897303795	0.00520105002330659	0	0.0114815632589976	0	0	0	0	0.00780157503495989	0.0013738622703074	0	0	0	0	7.35997644807537e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.00711464389980619	0.00034346556757685	0	0	0	0	0.0673192512450627	0	0	0	0	0	0	0	0	0	0	0	0.00480851794607591	0	0	0	0.00684477809671009	0	0.000735997644807537	0	0	0	0	0	0	0	0.00296852383405706	0	0	0.0177866097495155	0	0	0.00154559505409583	0.00269865803096097	0.0932509015971149	0	0	0	0	0.00255145850199946	0	0	0	0	0	0	0	0	0.00203626015063418	0	0.000441598586884522	0	0	0	0	0	0	0.000515198351365276	0	0	0	0	0	0	0.00157012830892274	0	0	0	0	0	0	0	0	0	0	7.35997644807537e-05	0	0	0	0	0	0	0.00797330781874831	0.0160938151664581	0	0	0.00046613184171144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000981330193076716	0	0.0278452442285518	0	0.00279679105026864	0	0	0	0	0	0	0	0	0	0	0.0524766320747774	0.0199455361742842	0	0	0.00277225779544172	0.00910183754078654	0	0.00103039670273055	0	0	0	0	0.000171732783788425	0	0	0	0	0	0	0	0	0	0	0	0	0.00309119010819165	0	0.000122666274134589	0	0	0	0	0	0	0.0142783543092662	0	0	0	0	0	0	0	0	0	0.000318932312749933	0	0	0	0.000907730428595962	0	0.0261769829003214	0	0	0	0.00210985991511494	0	0	0
RTF014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0254405414867546	0	0.00508810829735092	0	0.0083557007818882	0	0	0.016641381724822	0	0	0	9.33597852724939e-05	0	0.000163379624226864	0	0.0011903372622243	0.00242735441708484	0.000396779087408099	0	0	0	7.00198389543704e-05	0.000350099194771852	0	0	0	0	0	0	0.00438790990780721	0	0	0	0.482133271093476	0	0	0	0	0	0	0	0	0	0	0.00116699731590617	0	0	0	0	0	0	0	0.0333761232349166	0.000466798926362469	0.000140039677908741	0.000886917960088692	0	0	0	0.00254405414867546	0.00452794958571595	0	0.013233749562376	0	0	0	0	0.0068619442175283	0.00165713618858677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00548488738475902	0.000256739409499358	0	0	0	0	0.0808729139922978	0	0	0	0	0	0	0	0	0	0	0	0.00401447076671724	0.000373439141089976	0	0	0.00539152759948652	0	0	0	0	0	0	0	0	0	0.00385109114249037	0	0	0.0140273077371922	0	0	0.0014937565643599	0.00354767184035477	0.099614890885751	0	0	0	0	0.00336095226980978	0	0.000326759248453729	0	0	0	0	0	0	0.00196055549072237	0	0.000233399463181235	0	0	0	0	0	0	0.000303419302135605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000186719570544988	0	0	0	0	0	0	0.00333761232349166	0.0224296884117167	0	0	0.000233399463181235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000840238067452445	0	0.0316256272610573	0	0.00219395495390361	0	0	0	0	0	0	0	0	0	0	0.0331894036643716	0.0117399929980161	0	0	0.000700198389543704	0.00427121017621659	0	0.000466798926362469	0	0	0	0	0.000186719570544988	0	0	0	0	0	0	0	0	0	0	0	0	0.00329093243085541	0	7.00198389543704e-05	0	0	0	0	0	0	0.0154277045162796	0	0	0	0	0	0	0.000210059516863111	0	0	0.00053681876531684	0	0	0	0.000840238067452445	0	0.0289648733807912	0	0	0	0.00254405414867546	0	0	0
RTF015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00820584448178783	8.72962178913599e-05	0.00209510922939264	0	0.00467034765718775	0	0	0.0113703323803496	0	0	0	0	0	0	0	0.000698369743130879	0.000960258396804958	0.000436481089456799	0	0	0	0	0	0	0	0	0	0	0	0.00117849894153336	0	0	0	0.553174308723075	0	0	0	0	0	0	0	0	0	0	0.00126579515942472	0	0	0	0	0	0	0	0.0211256847297091	0.000589249470766679	0.00024006459920124	0.000414657034983959	0	0	0	0.000392832980511119	0.000763841906549399	0	0.00427751467667663	0	0	0	0	0.00390650575063835	0.000414657034983959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002182405447284	0.00017459243578272	0	0	0	0	0.0819056764365684	0	0	0	0	0	0	0	0	0	0	0	0.0024006459920124	0.00024006459920124	0	0	0.00322996006198031	0	0	0	0	0	0	0	0	0	0.00192051679360992	0	0	0.00986447262172366	0.00015276838130988	0	0.00144038759520744	0.00246611815543092	0.0632024617533445	0	0	0	0	0.00170227624888152	0	0.000414657034983959	0	0	0	0	0	0	0.000938434342332118	0	0.00015276838130988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00563060605399271	0.0152331900220423	0	0	0.00028371270814692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000523777307348159	0	0.0132472010650139	0	0.00560878199951987	0	0	0	0	0	0	0	0	0	0	0.109513105344711	0.0390432334519107	0	0.0002182405447284	0.000982082451277798	0.00224787761070252	0	0.00100390650575064	0	0	0	0	0	0	0	0	0	0	0.000501953252875319	0	0	0	0	0	0.00013094432683704	0.000851138124440759	0	0	0	0	0	0	0	0	0.00589249470766679	0	0	0	0	0	0	0	0	0	8.72962178913599e-05	0	0	0	0.000349184871565439	0	0.00925339909648414	0	0	0	0.000742017852076559	0	0	0
RTF016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00379821688500728	0	0.0029339519650655	0	0.0010462154294032	0	0	0.00543577147016012	0	0	0	0	0	0	0	0.000659570596797671	0.000181950509461427	0.000341157205240175	0	0	0	0	0	0	0	0	0	0	0	0.0152156113537118	0	0	0	0.614947234352256	0	0	0	0	0	0	0	0	0	0	0.000432132459970888	0	0	0	0	0	0	0	0.00498089519650655	0.00191048034934498	0	0	0	0	0	0	0.00166029839883552	0	0.00193322416302766	0	0	0	0	0.000796033478893741	0.000318413391557496	0	0	0	0	0	0.00013646288209607	0	0	0	0	0	0	0	0	0	0	0	0.000500363901018923	0	0	0	0	0	0.0488764556040757	0	0	0	0	0	0	0	0	0	0	0	0.000113719068413392	0	0	0	0.000227438136826783	0	0	0	0	0	0	0	0	0	0.00395742358078603	0	0	0.00141011644832606	0	0	0	0.00191048034934498	0.0139419577874818	0	0	0	0	0.000750545851528384	0	0	0	0	0	0	0	0	0.000341157205240175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00504912663755458	0.00604985443959243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000250181950509461	0	0.00454876273653566	0	0.00143286026200873	0	0	0	0	0	0	0	0	0.00175127365356623	0	0.238104985443959	0.00423034934497817	0	0.000727802037845706	0.000181950509461427	0.00231986899563319	0	0.000363901018922853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00127365356622999	0	0	0	0	0	0	0	0	0.00131914119359534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00347980349344978	0	0	0	0.000159206695778748	0	0	0
RTF017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0319543105279305	0.000306799140962405	0.0214051400656078	0	0.00523918533028108	0	0	0.0361550987657235	0.000778797819366106	0	0	0	0.000212399405281665	0	0	0.00634838222452977	0.00160479550657258	0.00217119392065702	0.0011091968942487	0	0	0.000165199537441295	0.000707998017605551	0	0	0	0	0	0	0.00663158143157199	0	0	0	0.427536402898072	0	0	0	0	0	0	0	0	0	0	0	0.000117999669600925	0	0	0	0	0	0	0.0145847591626743	0.00214759398673684	0.00120359662992944	0.00037759894272296	0	0	0	0	0.0110683690085668	0	0.0207207419819225	0	0	0	0	0.0146555589644349	0.00408278856819201	0	0	0	0	0	0.00176999504401388	0	0	0	0	0	0	0	0	0	0	0	0.00412998843603238	0.000353999008802775	0	0	0	0	0.0335119061666627	0	0	0	0	0	0	0	0	0	0	0	0.00162839544049277	0.000825997687206476	0	0	0.00103839709248814	0	0	0	0	0	0	0	0	0	0.0192339461449508	0	0	0.00875557548438864	0	0	0.00033039907488259	0.0111863686781677	0.102305713544002	0	0	0	0	0.005357184999882	0	0.000825997687206476	0	0	0	0	0.000542798480164256	0	0.00337479055058646	0	0.000495598612323885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00389398909683053	0.0316475113869681	0	0	0.00212399405281665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00313879121138461	0	0.0315295117173672	0	0.00325679088098553	0	0	0	0	0	0	0	0.00028319920704222	0.000991197224647771	0	0.0445330753073891	0.00344559035234701	0	0	0.000920397422887216	0.0171099520921341	0	0.000731597951525736	0	0	0	0	0.000589998348004626	0	0	0	0	0	0	0	0	0	0	0	0	0.00764637859013995	0.0004719986784037	0	0	0	0	0	0	0	0.00984117244471715	0	0	0	0	0	0	0.00051919854624407	0	0	0.000755197885445921	0	0	0	0.000566398414084441	0	0.0273287234795743	0	0.000212399405281665	0	0.00151039577089184	0	0	0
RTF018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0168902920284136	0.000202954109820724	0.0145450445371519	0	0.00243544931784869	0	0	0.0224377043635134	0.000834366895929643	0	0	0	0	0	0	0.00453264178599617	0.00130792648551133	0.00182658698838651	0.000383357762994701	0	0	0.000135302739880483	0.000112752283233735	0	0	0	0	0	0	0.0170932461382343	0	0	0	0.560491599954899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011951742022776	0.000924568722516631	0.000496110046228436	0.000180403653173977	0	0	0	0	0.00302176119066411	0	0.0105310632540309	0	0	0	0	0.00728379749689931	0.00175893561844627	0	0	0	0	0	0.00151088059533206	0	0	0	0	0	0	0	0	0	0	0	0.00356297215018604	9.02018265869884e-05	0	0	0	0	0.0379524185364754	0	0	0	0	0	0	0	0	0	0	0	0.000992220092456872	0.00054121095952193	0	0	0.000789265982636148	0	0	0	0.000180403653173977	0	0	0	0	0	0.0156725673694892	0	0	0.00728379749689931	0	0	0.000653963242755666	0.00608862329462172	0.0676062690269478	0	0	0	0	0.00297666027737062	0	0	0	0	0	0	0.000202954109820724	0	0.00171383470515278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00543466005186605	0.0185364753636261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00108242191904386	0	0.0189423835832676	0	0.00169128424850603	0	0	0	0	0	0	0	0	0.00085691735257639	0	0.0846769647085353	0.00665238471079039	0	0	0.000496110046228436	0.00649453151426316	0	0.000653963242755666	0	0	0	0	6.76513699402413e-05	0	0	0	0	0	0.000270605479760965	0	0	0	0	0	0	0.00342766941030556	0	0	0	0	0	0	0	0	0.00683278836396437	0	0	0	0	0	0	0.00015785319652723	0.000293155936407712	0	0.000451009132934942	0	0	0	0.000315706393054459	0	0.0142067876874507	0	6.76513699402413e-05	0	0.0011951742022776	0	0	0
RTF019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0108253827846928	0	0.00406478380826015	0	0.00332764684821297	0	0	0.0204713464333102	0.00136896864008761	0	0	0	0	0	0	0.00183231187211727	4.21221120026958e-05	0.00120048019207683	0.000231671616014827	0	0	0.00010530528000674	0	0	0	0	0	0	0	0.0065078663044165	0	0	0	0.56437311766812	0	0	0	0	0	0	0	0	0	0	0.000463343232029654	0	0	0	0	0	0	0	0.0405635938585961	0.0010530528000674	0.000526526400033698	0	0	0	0	0	0.00349613529622375	0	0.00343295212821971	0	0	0	0	0.00278005939217792	0.000821381184052568	0	0	0	0	0	0.000168488448010783	0	0	0	0	0	0	0	0	0	0	0	0.00090562540805796	0.000252732672016175	0	0	0	0	0.0448389882268697	0	0	0	0	0	0	0	0	0	0	0	0.000315915840020219	0.000147427392009435	0	0	0	0	0	0	0	0	0	0	0	0	0.0118573745287589	0	0	0.0035593184642278	0	0	0.000294854784018871	0.00294854784018871	0.0295276005138898	0	0	0	0	0.0014953349760957	0	0.000231671616014827	0	0	0	0	4.21221120026958e-05	0	0.000758198016048525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0138792359048883	0.012110107200775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00090562540805796	0	0.0124260230407953	0	0.00488616499231271	0	0	0	0	0	0	0	0	0.00170594553610918	0	0.156294096586003	0.0147848613129462	0	0	0.000273793728017523	0.00730818643246772	0	0.00157957920010109	0	0	0	0	0	0	0	0	0	0	0.000589709568037741	0	0	0	0	0	0	0.00261157094416714	0	0	0	0	0	0	0	0	0.00143215180809166	0	0	0	0	0	0	0	0	0	0.00010530528000674	0	0	0	0	0	0.00419115014426823	0	8.42442240053916e-05	0	0	0	0	0
RTF020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0271250031688088	0.000278855172763455	0.00948107587395746	0	0.00362511724592491	0	0	0.026465890942277	0.00111542069105382	0	0	0	0.000126752351256116	0	0	0.00527289781225442	0.00162243009607828	0.00225619185235886	0.000988668339797703	0	0	0.000304205643014678	0.000304205643014678	0	0	0	0	0	0	0.00552640251476665	0	0	0	0.488985220675844	0	0	0	0	0	0	0	0	0	0	0.00106471975055137	0	0	0	0	0	0	0	0.0191649555099247	0.000887266458792811	0.000532359875275686	0.000861915988541587	0	0	0	0	0.0116105153750602	0	0.0143737166324435	0	0	0	0	0.0130047912388775	0.00233224326311253	0	0	0	0	0	0.00126752351256116	0	0	0	0	0	0	0	0	0	0	0	0.00359976677567369	0.000430957994270794	0	0	0	7.60514107536695e-05	0.0630719699850432	0	0	0	0	0	0	0	0	0	0	0	0	0.000735163637285472	0	0	0.000760514107536695	0	0	0	0.000152102821507339	0	0	0	0	0	0.012497781833853	0	0	0.00806144953988897	0	0	0	0.00593201003878622	0.0911856414936497	0	0	0	0	0.00420817806170304	0	0.000380257053768347	0	0	0	0	0.000354906583517124	0	0.00147032727457094	0	0	0	0	0	0	0	0	0.000152102821507339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00752908966461328	0.0296854006641823	0	0	5.07009405024463e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00182523385808807	0	0.0473800288995361	0	0.00185058432833929	0	0	0	0	0	0	0	0	0	0	0.0200015210282151	0.0054757015742642	0	0	0.00101401881004893	0.0123710294825969	0	0	0	0	0	0	0	0	0	0	0	0	0.000177453291758562	0	0	0	0	0	0	0.00793469718863285	0.000253504702512232	0.000152102821507339	0	0	0	0	0	0	0.00697137931908637	0	0	0	0	0	0	0.000532359875275686	0	0	0.000380257053768347	0	0	0	0.000304205643014678	0	0.0235505868633863	0	0	0	0.000912616929044034	0	0	0
