feature	Anaerospora	RBG.13.54.9.Genus	Meiothermus	Deinococcus	KD4.96.Genus	Caldilineaceae.Genus	Lineage.IIb.Genus	SBR1031.Genus	JG30.KF.CM45.Genus	Candidatus.Obscuribacter	Obscuribacteraceae.Genus	Vampirovibrio	Vampirovibrionaceae.Genus	Frankiales.Genus	Nakamurella	Micromonospora	PeM15.Genus	Longivirga	Gordonia	Nocardia	Nocardiaceae.Genus	Smaragdicoccus	Mycobacterium	Rhodococcus	Nocardioides	Marmoricola	Brevibacterium	Kineosporiaceae.Genus	Leucobacter	Glutamicibacter	Kocuria	IMCC26207	Microtrichales.Genus	Iamia	Acidimicrobiia.Genus	IMCC26256.Genus	Gaiellales.Genus	X67.14.Genus	Conexibacter	Thermoleophilia.Genus	Gaiella	Clostridium.sensu.stricto.12	Clostridium.sensu.stricto.3	Clostridium.sensu.stricto.5	Clostridium.sensu.stricto.18	Clostridium.sensu.stricto.13	Clostridium.sensu.stricto.9	Acidaminobacter	Paraclostridium	Thermoactinomycetaceae.Genus	Peptostreptococcaceae.Genus	Peptostreptococcus	Geothermomicrobium	Lachnoclostridium	Cetobacterium	Brevibacillus	Ligilactobacillus	Lactobacillus	Weissella	Streptococcus	Carnobacterium	Vagococcus	Enterococcus	Staphylococcus	Bacillus	Geobacillus	Planococcaceae.Genus	Lysinibacillus	Exiguobacterium	Holophagaceae.Genus	Kapabacteriales.Genus	Candidatus.Amoebophilus	Barnesiellaceae.Genus	Flavobacterium	Chryseobacterium	Cloacibacterium	NS9.marine.group.Genus	AKYH767.Genus	Sphingobacteriales.Genus	env.OPS.17.Genus	Fluviicola	Chitinophagales.Genus	Dinghuibacter	Chitinophagaceae.Genus	Ferruginibacter	Terrimonas	Aurantisolimonas	Flavihumibacter	Haliscomenobacter	Saprospiraceae.Genus	Bacteroidia.Genus	Cytophagales.Genus	Cytophaga	Microscillaceae.Genus	Hassallia	OLB12	Runella	Fibrobacteraceae.Genus	Vermiphilaceae.Genus	Babeliaceae.Genus	BD7.11.Genus	Verrucomicrobiaceae.Genus	Pedosphaeraceae.Genus	DEV008	Chthoniobacter	Verrucomicrobiae.Genus	Brevifollis	Luteolibacter	Methanosarcina	Methanobacteriaceae.Genus	Opitutaceae.Genus	Saccharimonadales.Genus	TM7a	ZOR0006	Armatimonadota.Genus	Candidatus.Alysiosphaera	A0839.Genus	Hirschia	SWB02	Polymorphobacter	Magnetospirillum	Novosphingobium	Sphingopyxis	Sphingorhabdus	Blastomonas	Rhizobiaceae.Genus	alphaI.cluster	Alsobacter	Mesorhizobium	Mycoplana	Pseudochrobactrum	Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium	Shinella	Hyphomicrobium	Pedomicrobium	Methyloligellaceae.Genus	Bauldia	Devosia	Alphaproteobacteria.Genus	Rhizobiales.Incertae.Sedis.Genus	Nordella	Xanthobacteraceae.Genus	Phreatobacter	Paracoccus	Defluviimonas	Rhodobacteraceae.Genus	Tabrizicola	Gemmobacter	Pseudorhodobacter	Phenylobacterium	Caulobacter	Bosea	Beijerinckiaceae.Genus	Pseudorhodoplanes	Bradyrhizobium	Afipia	Fodinicurvataceae.Genus	Novispirillum	Roseomonas	Rhodovarius	Rhodovastum	Rhodospirillales.Genus	Reyranella	Holosporaceae.Genus	Caedibacter	Oligoflexaceae.Genus	Candidatus.Megaira	Rickettsiaceae.Genus	Bdellovibrio	OM27.clade	X0319.6G20.Genus	Desulfobacterota.Genus	MBNT15.Genus	Sandaracinaceae.Genus	mle1.27.Genus	Haliangium	Anaeromyxobacter	Blfdi19.Genus	Pajaroellobacter	Phaselicystis	Aetherobacter	Polyangia.Genus	NB1.j.Genus	P3OB.42	SAR324.clade.Marine.group.B..Genus	Desulfobulbus	Candidatus.Berkiella	Candidatus.Competibacter	Ahniella	Stenotrophomonas	Luteimonas	Sulfurifustis	Chitinibacter	Chitinilyticum	Sutterellaceae.Genus	Neisseriaceae.Genus	Leeia	Burkholderiales.Genus	AAP99	Azospira	Dechloromonas	Candidatus.Accumulibacter	Dechlorobacter	Zoogloea	Rhizobacter	Inhella	Comamonadaceae.Genus	Curvibacter	Ideonella	Rubrivivax	Aquabacterium	Paucibacter	Nitrosomonas	Crenobacter	Chitinivorax	IS.44	SC.I.84.Genus	Sulfuritalea	A21b.Genus	Nitrosomonadaceae.Genus	Achromobacter	Cellvibrio	Shewanella	Vibrio	Aeromonas	Plesiomonas	Burkholderia.Caballeronia.Paraburkholderia	Citrobacter	Gammaproteobacteria.Genus	Pseudomonadales.Genus	Porticoccus	Pseudomonas	Diplorickettsiaceae.Genus	Coxiella	Aquicella	Candidatus.Ovatusbacter	Legionella	CCM19a.Genus	Ga0077536.Genus	Steroidobacter	Steroidobacteraceae.Genus	X.Agitococcus..lubricus.group	Acinetobacter	OM60.NOR5..clade	Gemmatimonadaceae.Genus	Vicinamibacteraceae.Genus	Subgroup.17.Genus	Chlamydiales.Genus	Neochlamydia	Parachlamydiaceae.Genus	Candidatus.Protochlamydia	Simkania	Simkaniaceae.Genus	Leptospirillum	Bryobacter	Paludibaculum.Genus	Nitrospira	SH3.11	Oikopleura	X11.24.Genus	JGI.0001001.H03	SM1A02	CL500.3	Planctomycetota.Genus	Pirellulaceae.Genus	Pir4.lineage	Planctomycetes.Genus	Pirellula	Rhodopirellula	Blastopirellula	Planctomycetales.Genus	SH.PL14	Schlesneriaceae.Genus	Schlesneria	Gemmataceae.Genus	Gemmata	Fimbriiglobus	Telmatocola	Tundrisphaera	Isosphaeraceae.Genus	OM190.Genus	vadinHA49.Genus
RTF006	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	544	18	1129	96	0	0	1168	0	0	0	0	0	9	37	0	77	46	14	0	0	5	14	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	19786	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	669	0	0	23	0	0	0	0	73	0	527	0	0	0	43	63	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	57	3	0	0	0	0	0	0	0	723	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	66	0	15	0	0	4	0	0	0	0	328	0	0	113	0	26	0	103	6052	0	0	4	55	0	25	0	0	0	0	8	0	40	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	1184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	750	0	182	0	0	0	0	0	0	0	63	12	0	4203	2759	0	21	0	95	0	90	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	27	4	0	0	0	0	0	0	0	262	0	0	0	0	0	0	12	0	0	38	0	0	0	7	0	0	329	0	0	0	53	0	0	0
RTF007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	289	44	0	0	612	0	0	0	0	0	14	7	0	54	15	23	0	0	0	39	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	27345	2	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	1351	4	0	11	0	0	0	0	20	0	368	0	0	0	26	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	9	0	0	0	0	0	4	0	1216	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	17	0	0	0	0	0	0	0	0	0	279	0	0	117	0	0	0	41	2519	0	0	0	18	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	672	0	203	0	0	0	0	0	0	0	0	37	0	4505	4253	0	0	0	67	0	62	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	5	0	0	0	6	0	0	37	0	4	0	20	0	0	0
RTF008	0	0	0	0	3	0	0	0	8	0	29	0	0	0	0	0	888	26	1410	237	0	5	2490	25	0	0	0	0	54	58	0	252	144	69	0	0	17	57	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	35610	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	295	0	0	19	0	0	0	0	341	0	1869	0	0	0	48	263	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	167	5	0	0	0	0	0	2	0	879	0	0	0	0	0	0	0	0	0	0	0	55	49	0	0	201	0	29	0	0	3	0	0	0	0	780	0	0	424	0	139	0	198	13228	0	0	9	172	0	57	0	0	0	0	17	0	322	0	48	0	0	0	0	0	9	0	10	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	3059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	2177	0	354	0	0	0	0	0	0	0	0	8	0	2197	2965	0	15	11	300	0	123	0	0	0	6	111	0	0	0	0	0	0	0	0	0	0	0	50	13	3	4	0	0	0	0	0	832	0	0	0	0	0	0	38	7	0	62	0	0	0	44	0	0	511	0	6	0	153	0	0	0
RTF009	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	451	7	649	57	0	0	826	0	0	0	0	0	28	9	0	145	64	50	0	0	0	34	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	31651	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	1339	0	0	20	0	0	0	0	112	0	634	0	0	0	63	61	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	34	7	0	0	0	0	0	0	0	1036	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	60	0	18	0	0	0	0	0	0	0	460	0	0	262	0	7	0	121	5821	0	0	0	62	0	0	0	0	0	0	10	0	69	0	13	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	1273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	1687	0	292	0	0	0	0	0	0	0	0	0	0	3963	3871	0	0	4	179	0	35	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	8	5	0	3	0	0	0	0	0	293	0	0	0	0	0	0	15	0	0	21	0	0	0	9	0	0	190	0	0	0	53	0	0	0
RTF010	0	0	0	199	0	0	0	0	24	0	6	0	0	0	0	0	1004	119	1091	77	0	0	2193	0	0	0	0	0	177	29	0	891	427	214	0	0	72	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3583	582	0	0	0	0	0	0	0	0	12	16	0	0	0	0	0	0	13	0	0	92	0	0	0	0	248	0	2685	0	0	0	226	565	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	40	0	124	0	0	0	0	0	0	0	0	0	0	127	49	100	0	0	140	0	144	0	0	0	0	0	0	0	420	0	0	797	0	105	0	312	11252	0	0	37	202	0	14	0	0	0	0	0	0	237	71	147	0	0	0	0	0	11	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	67	1778	0	0	0	0	0	0	0	0	0	0	0	956	0	0	136	225	500	0	130	0	0	0	0	0	0	0	0	0	0	312	383	0	45	0	824	0	1803	0	0	0	43	186	0	0	0	0	0	5	0	0	0	0	0	44	10	0	0	0	14	0	0	0	381	0	0	0	0	0	0	64	0	0	108	0	0	0	73	56	0	1305	0	0	0	241	0	0	0
RTF026	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2154	25	3959	159	15	0	1207	0	0	0	0	0	18	62	0	493	79	92	88	0	7	58	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	13388	0	0	0	0	0	0	0	0	19	33	0	0	0	0	0	0	0	8	89	0	0	0	0	0	570	194	0	2511	0	0	0	542	541	0	0	12	0	0	141	0	0	0	0	0	0	0	0	3	0	249	33	0	0	0	0	0	0	0	2970	0	5	0	0	0	0	0	0	0	0	0	19	53	0	0	35	0	32	0	4	0	0	0	0	0	891	0	0	511	0	65	0	131	5310	0	0	0	116	0	27	0	0	0	0	26	0	100	0	0	0	3	0	0	0	22	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	37	1777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	1312	0	156	0	0	0	0	0	0	0	0	0	0	400	858	0	13	28	604	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	498	0	0	0	0	0	0	109	0	0	81	0	0	0	160	0	0	1615	0	5	0	225	0	0	0
RTF027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1646	28	5282	424	0	0	1375	0	0	0	0	0	13	27	0	409	26	91	64	0	21	86	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	18711	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	60	15	0	0	0	0	0	93	65	0	1712	0	0	0	652	307	0	0	0	0	0	44	0	0	0	0	0	2	0	0	0	0	172	12	0	0	0	0	0	0	0	5018	0	0	0	0	0	0	0	0	0	0	0	9	19	0	0	59	0	36	0	0	0	0	0	0	0	811	0	0	388	0	40	0	96	4366	0	0	0	81	0	19	0	0	0	0	15	0	38	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	1374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	1881	0	193	0	0	0	0	0	0	0	0	6	0	778	956	0	0	13	221	0	40	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	27	10	0	0	0	0	0	0	0	314	0	0	0	0	0	0	67	0	0	43	0	0	0	86	0	0	957	0	6	0	151	0	0	0
RTF028	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	622	8	1496	83	15	12	636	0	0	0	0	0	0	36	0	133	36	65	21	0	4	26	0	0	0	0	0	0	3	0	0	0	651	0	0	0	0	0	17084	0	0	0	0	0	0	0	0	10	46	0	0	0	0	0	0	0	15	0	0	0	0	0	0	238	40	0	794	0	0	0	200	214	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	52	5	0	0	0	0	0	0	0	1114	0	0	0	0	0	0	0	0	0	0	0	9	21	0	0	44	0	20	0	0	14	0	0	0	0	763	0	0	251	0	70	0	59	2365	0	0	0	26	0	0	0	0	0	0	4	0	50	0	5	0	0	0	0	0	5	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	654	4	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	685	2	136	0	0	0	0	0	0	0	0	0	0	609	1748	0	0	23	136	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	28	0	0	61	0	0	0	95	0	0	346	0	4	0	41	0	0	0
RTF029	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	788	17	2265	245	0	0	1067	0	0	0	0	0	10	0	0	284	32	231	48	0	27	35	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	11316	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	12	0	0	0	0	0	0	77	18	0	1240	0	0	0	277	241	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	89	5	0	0	0	0	0	0	0	2849	0	0	0	0	0	0	0	0	0	0	0	13	44	0	0	38	0	70	0	0	15	0	0	0	0	1313	0	9	358	0	44	0	105	3164	0	0	0	71	0	23	0	0	0	0	8	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	486	0	0	0	0	0	0	0	0	0	0	0	22	0	0	17	0	771	0	94	0	0	0	0	0	0	0	0	0	0	551	687	0	0	5	35	0	35	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	23	0	0	81	0	0	0	86	0	0	684	0	0	0	109	0	0	0
RTF030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	685	67	0	0	432	0	0	0	0	0	0	0	0	81	0	23	9	0	0	0	0	0	0	0	0	0	0	0	0	0	712	0	0	0	0	0	31206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	8	0	0	0	0	0	46	21	0	189	0	0	0	70	38	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	1392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	223	0	0	52	0	0	0	15	843	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	525	2	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	344	0	216	0	0	0	0	0	0	0	0	8	0	1170	2860	0	0	0	66	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	161	0	0	0	36	0	0	0
