feature	Anaerospora	Deinococcus	KD4.96.Genus	Caldilineaceae.Genus	JG30.KF.CM45.Genus	Candidatus.Obscuribacter	Vampirovibrio	Vampirovibrionaceae.Genus	Obscuribacteraceae.Genus	Frankiales.Genus	Nakamurella	PeM15.Genus	Longivirga	Gordonia	Nocardia	Nocardiaceae.Genus	Smaragdicoccus	Mycobacterium	Rhodococcus	Nocardioides	Marmoricola	Brevibacterium	Kineosporiaceae.Genus	Leucobacter	Agromyces	Glutamicibacter	Kocuria	IMCC26207	Microtrichales.Genus	Iamia	Acidimicrobiia.Genus	Ilumatobacteraceae.Genus	Microtrichaceae.Genus	IMCC26256.Genus	Gaiellales.Genus	X67.14.Genus	Conexibacter	Thermoleophilia.Genus	Clostridium.sensu.stricto.12	Clostridium.sensu.stricto.3	Clostridium.sensu.stricto.5	Clostridium.sensu.stricto.18	Clostridium.sensu.stricto.9	Paraclostridium	Thermoactinomycetaceae.Genus	Peptostreptococcaceae.Genus	Peptostreptococcus	Amnipila	Geothermomicrobium	Lachnoclostridium	Cetobacterium	Brevibacillus	Enterococcus	Ligilactobacillus	Limosilactobacillus	Lactobacillus	Weissella	Streptococcus	Carnobacterium	Vagococcus	Staphylococcus	Bacillus	Geobacillus	Planococcaceae.Genus	Lysinibacillus	Exiguobacterium	Brochothrix	Candidatus.Amoebophilus	Barnesiellaceae.Genus	Flavobacterium	Chryseobacterium	Cloacibacterium	NS9.marine.group.Genus	env.OPS.17.Genus	Fluviicola	Dinghuibacter	Aurantisolimonas	Flavihumibacter	Saprospiraceae.Genus	Haliscomenobacter	Bacteroidia.Genus	Cytophagales.Genus	Cytophaga	Microscillaceae.Genus	Hassallia	Ohtaekwangia	OLB12	Flectobacillus	Runella	Babeliales.Genus	Babeliaceae.Genus	Pedosphaeraceae.Genus	Chthoniobacter	Verrucomicrobiae.Genus	Methanosarcina	Methanobacteriaceae.Genus	Saccharimonadales.Genus	TM7a	ZOR0006	Armatimonadota.Genus	Defluviicoccales.Genus	Candidatus.Alysiosphaera	A0839.Genus	Polymorphobacter	Magnetospirillum	Blastomonas	Rhizobiaceae.Genus	alphaI.cluster	Alsobacter	Mycoplana	Martelella	Pseudochrobactrum	Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium	Shinella	Hyphomicrobium	Pedomicrobium	Methyloligellaceae.Genus	Bauldia	Alphaproteobacteria.Genus	Rhizobiales.Incertae.Sedis.Genus	Nordella	Xanthobacteraceae.Genus	Phreatobacter	Aminobacter	Paracoccus	Defluviimonas	Rhodobacteraceae.Genus	Tabrizicola	Gemmobacter	Pseudorhodobacter	Caulobacter	Bosea	Beijerinckiaceae.Genus	Pseudorhodoplanes	Bradyrhizobium	Novispirillum	Roseomonas	Rhodovarius	Rhodovastum	Rhodospirillales.Genus	Reyranella	Caedibacter	Candidatus.Megaira	Rickettsiaceae.Genus	Bdellovibrio	X0319.6G20.Genus	Desulfobacterota.Genus	Sandaracinaceae.Genus	Haliangium	Pajaroellobacter	Phaselicystis	Aetherobacter	Blfdi19.Genus	NB1.j.Genus	Candidatus.Berkiella	Candidatus.Competibacter	Stenotrophomonas	Luteimonas	Chitinibacter	Chitinilyticum	Sutterellaceae.Genus	Neisseriaceae.Genus	AAP99	Dechloromonas	Rhizobacter	Curvibacter	Rubrivivax	Comamonadaceae.Genus	Aquabacterium	Paucibacter	Crenobacter	IS.44	SC.I.84.Genus	A21b.Genus	Nitrosomonadaceae.Genus	Achromobacter	Cellvibrio	Shewanella	Aeromonas	Plesiomonas	Burkholderia.Caballeronia.Paraburkholderia	Citrobacter	Gammaproteobacteria.Genus	Pseudomonadales.Genus	Pseudomonas	Diplorickettsiaceae.Genus	Coxiella	Aquicella	Candidatus.Ovatusbacter	Legionella	CCM19a.Genus	Steroidobacter	Steroidobacteraceae.Genus	X.Agitococcus..lubricus.group	Acinetobacter	OM60.NOR5..clade	Gemmatimonadaceae.Genus	Vicinamibacteraceae.Genus	Subgroup.17.Genus	Neochlamydia	Parachlamydiaceae.Genus	Chlamydiales.Genus	Candidatus.Protochlamydia	Simkania	Paludibaculum.Genus	Nitrospira	SH3.11	Oikopleura	X11.24.Genus	SM1A02	CL500.3	Pirellulaceae.Genus	Pir4.lineage	Planctomycetes.Genus	Pirellula	Rhodopirellula	Blastopirellula	Planctomycetales.Genus	SH.PL14	Schlesneriaceae.Genus	Schlesneria	Gemmataceae.Genus	Gemmata	Fimbriiglobus	Telmatocola	Tundrisphaera	Isosphaeraceae.Genus	OM190.Genus
RTF001	0	2	0	0	2	0	0	0	0	0	0	1110	0	1087	2199	0	0	590	21	0	0	0	0	0	0	0	0	107	77	0	0	0	0	0	10	16	0	0	0	0	0	0	0	234	0	0	0	0	0	0	17943	0	29	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	903	0	0	130	0	0	0	254	148	58	0	0	0	0	0	3	0	0	0	0	0	0	0	0	13	10	0	0	0	0	1077	0	0	0	0	0	0	0	0	0	0	39	0	11	10	0	0	0	0	0	0	736	0	0	275	0	0	20	0	77	2914	0	3	14	0	38	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	798	0	0	0	0	0	73	39	0	2493	31	0	0	0	0	0	0	0	1380	2908	0	0	0	0	28	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	24	0	0	0	47	0	0	0	34	0	0	0	0	0	0	0	0	0
RTF002	0	0	0	0	0	0	0	0	0	0	0	137	0	1480	3040	37	0	1030	45	0	0	0	0	0	0	0	0	15	12	0	0	0	0	0	0	3	0	0	0	0	0	0	0	275	0	0	0	0	0	0	19909	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	599	0	0	52	0	0	0	44	41	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	6	0	0	0	0	413	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	153	0	0	18	0	0	1278	0	0	8	0	10	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	434	0	0	0	0	0	0	0	0	1689	67	0	0	0	0	0	0	0	1325	2119	0	0	0	0	27	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	105	0	0	0	10	0	0	0	0	0	0	0	0	0
RTF003	0	0	0	0	0	0	0	0	0	0	0	1067	0	691	3073	25	0	1118	49	0	0	0	0	0	0	0	0	108	112	0	0	0	0	0	6	38	0	0	0	0	0	0	0	283	0	0	0	0	0	0	14362	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	1172	0	7	114	0	0	7	393	157	83	0	0	0	0	0	14	0	0	0	0	0	0	0	0	37	9	0	0	0	0	650	0	0	0	0	0	0	0	0	6	0	12	0	0	0	0	0	0	0	0	0	1048	0	0	244	0	0	15	0	83	3330	0	7	21	0	50	0	0	22	0	10	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	992	0	0	0	0	0	85	0	0	2110	48	0	0	0	0	0	0	0	1730	2873	0	0	10	0	51	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	166	0	0	0	23	7	0	0	183	0	0	0	53	0	0	0	0	0	0	0	0	0
RTF004	0	12	0	0	0	0	0	0	0	0	0	1363	18	768	3337	41	0	1858	397	0	0	0	0	0	0	0	0	131	106	5	0	0	0	0	14	24	0	0	0	0	0	0	0	128	0	0	0	0	0	0	13696	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	944	0	0	86	0	0	14	367	195	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	10	0	0	0	0	598	0	0	0	0	0	0	0	0	0	0	14	0	0	17	0	0	3	0	0	0	952	0	0	242	0	0	23	0	90	3698	0	20	30	0	27	0	0	17	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	207	937	0	0	0	0	0	81	29	113	2118	22	0	0	0	0	0	0	0	2096	1494	0	0	0	0	16	0	0	0	3	9	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	157	0	0	0	26	0	0	0	88	0	0	0	38	0	0	6	0	0	0	8	0	0
RTF005	0	0	0	0	0	0	0	0	0	0	0	1807	9	1269	2138	31	0	1315	24	0	0	0	0	0	0	0	0	198	121	0	0	0	0	0	7	33	0	0	0	0	0	0	0	158	0	0	0	0	0	0	16778	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	1269	0	0	204	0	0	10	368	272	73	0	0	0	0	0	7	0	0	0	0	0	0	0	0	29	17	0	0	0	0	834	0	0	0	0	0	0	4	0	14	0	34	0	9	9	0	0	0	0	0	0	1201	0	0	215	0	0	24	0	108	4348	0	13	53	0	62	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	1198	0	0	0	0	0	68	0	0	3213	28	0	0	0	0	0	0	0	1412	1795	0	0	0	0	42	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	296	0	0	0	82	0	0	0	150	0	0	0	62	0	0	0	0	0	0	8	0	0
RTF021	0	3	0	0	0	0	0	0	0	0	0	2926	24	287	0	41	0	554	14	0	0	0	0	0	0	28	0	208	176	17	0	0	0	0	0	113	0	0	0	0	0	0	0	437	0	0	0	0	0	0	16219	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	761	0	0	58	0	0	89	920	714	58	0	0	0	0	0	32	0	0	0	0	0	0	0	0	39	18	0	0	14	0	1536	0	0	0	0	0	0	0	19	24	0	0	0	0	0	0	0	0	0	0	0	1189	0	0	22	0	0	10	0	33	2799	0	0	16	0	0	0	0	10	0	13	0	4	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	65	913	0	0	0	0	0	65	18	0	1486	157	0	0	0	0	0	0	0	1116	5749	0	0	0	6	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	16	0	15	0	0	0	292	0	0	0	0	0	0	0	97	0	0	0	24	0	0	78	0	0	0	5	0	0
RTF022	0	0	0	0	0	0	0	0	0	0	0	2944	63	294	8	24	0	505	25	0	0	0	0	0	0	0	0	280	180	22	0	0	0	0	0	152	0	0	0	0	0	0	0	554	0	0	0	0	0	0	16511	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	1284	0	0	39	0	0	61	1437	1027	49	0	0	0	0	0	55	0	0	0	0	0	0	0	0	38	21	0	0	40	0	3419	0	0	4	0	0	0	0	27	30	0	0	0	0	0	0	0	0	0	0	0	905	0	0	40	0	0	9	0	41	3551	0	6	0	0	30	0	0	20	0	30	0	10	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	1039	0	0	0	0	0	86	0	0	882	40	0	0	0	0	0	0	0	1935	5079	0	0	0	2	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	3	0	0	0	445	0	0	0	0	6	4	0	146	0	0	0	56	0	0	179	0	7	0	26	0	0
RTF023	0	0	0	0	0	0	0	0	0	0	0	4418	51	262	10	85	10	666	18	0	0	0	0	0	0	0	0	444	276	21	0	0	0	0	9	159	0	0	0	0	0	0	0	642	0	0	0	0	0	0	14017	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	220	0	0	48	0	48	52	1755	1490	86	0	0	0	0	0	82	0	0	0	0	0	0	0	0	50	0	0	0	42	0	1574	3	0	0	0	0	0	0	40	45	0	0	0	0	0	0	0	0	0	0	0	1476	0	0	55	0	0	21	0	109	4720	0	7	35	0	39	0	0	58	0	47	0	10	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	1514	0	0	0	0	0	119	17	0	1667	132	0	0	0	0	0	0	0	1700	4750	0	0	3	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	35	0	12	0	0	0	564	0	0	0	5	6	0	0	246	0	0	0	91	0	0	281	0	0	0	62	0	0
RTF024	0	6	0	0	0	0	0	0	0	0	0	4807	125	377	0	40	0	727	0	0	0	0	0	0	0	113	0	672	368	110	0	0	0	3	13	203	0	0	0	0	0	0	12	367	0	0	0	0	0	0	6805	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	41	0	0	124	0	71	27	2940	1642	102	7	0	0	19	0	29	0	0	0	3	9	0	0	0	47	5	0	0	79	0	1757	0	0	0	0	0	0	6	73	38	0	27	0	0	0	0	0	0	0	0	0	2946	0	0	97	0	0	0	0	139	7000	0	12	112	0	95	0	0	39	0	64	0	21	0	0	0	10	0	0	0	442	0	51	0	0	0	0	0	0	0	0	59	1518	0	0	0	0	0	171	204	26	2801	157	0	0	0	0	0	0	0	745	4728	0	0	2	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	21	0	11	0	0	0	496	0	0	0	7	3	0	0	206	0	0	0	113	0	0	584	0	0	0	66	0	0
RTF025	0	3	0	0	0	0	0	0	0	0	0	5991	104	471	0	47	0	847	22	0	0	0	0	0	0	0	0	638	305	34	0	0	0	0	21	247	0	0	0	0	0	0	0	338	0	0	0	0	0	0	14626	5	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	357	0	0	86	0	0	33	2509	1534	111	0	0	0	0	0	52	0	0	0	0	0	0	0	0	47	0	0	0	44	0	3589	0	0	0	0	0	0	7	41	40	0	23	0	0	0	0	0	0	0	0	0	1830	0	0	49	0	0	10	0	122	5878	0	14	60	0	69	0	0	49	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	1611	8	0	0	0	0	144	110	10	1719	89	0	0	0	0	0	0	0	794	4860	0	0	0	11	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	9	0	0	0	0	0	587	0	0	0	4	6	4	0	255	0	0	0	91	0	0	318	0	0	0	45	0	0
