feature	Anaerospora	Deinococcus	KD4.96.Genus	Caldilineaceae.Genus	JG30.KF.CM45.Genus	Candidatus.Obscuribacter	Vampirovibrio	Vampirovibrionaceae.Genus	Obscuribacteraceae.Genus	Frankiales.Genus	Nakamurella	PeM15.Genus	Longivirga	Gordonia	Nocardia	Nocardiaceae.Genus	Smaragdicoccus	Mycobacterium	Rhodococcus	Nocardioides	Marmoricola	Brevibacterium	Kineosporiaceae.Genus	Leucobacter	Agromyces	Glutamicibacter	Kocuria	IMCC26207	Microtrichales.Genus	Iamia	Acidimicrobiia.Genus	Ilumatobacteraceae.Genus	Microtrichaceae.Genus	IMCC26256.Genus	Gaiellales.Genus	X67.14.Genus	Conexibacter	Thermoleophilia.Genus	Clostridium.sensu.stricto.12	Clostridium.sensu.stricto.3	Clostridium.sensu.stricto.5	Clostridium.sensu.stricto.18	Clostridium.sensu.stricto.9	Paraclostridium	Thermoactinomycetaceae.Genus	Peptostreptococcaceae.Genus	Peptostreptococcus	Amnipila	Geothermomicrobium	Lachnoclostridium	Cetobacterium	Brevibacillus	Enterococcus	Ligilactobacillus	Limosilactobacillus	Lactobacillus	Weissella	Streptococcus	Carnobacterium	Vagococcus	Staphylococcus	Bacillus	Geobacillus	Planococcaceae.Genus	Lysinibacillus	Exiguobacterium	Brochothrix	Candidatus.Amoebophilus	Barnesiellaceae.Genus	Flavobacterium	Chryseobacterium	Cloacibacterium	NS9.marine.group.Genus	env.OPS.17.Genus	Fluviicola	Dinghuibacter	Aurantisolimonas	Flavihumibacter	Saprospiraceae.Genus	Haliscomenobacter	Bacteroidia.Genus	Cytophagales.Genus	Cytophaga	Microscillaceae.Genus	Hassallia	Ohtaekwangia	OLB12	Flectobacillus	Runella	Babeliales.Genus	Babeliaceae.Genus	Pedosphaeraceae.Genus	Chthoniobacter	Verrucomicrobiae.Genus	Methanosarcina	Methanobacteriaceae.Genus	Saccharimonadales.Genus	TM7a	ZOR0006	Armatimonadota.Genus	Defluviicoccales.Genus	Candidatus.Alysiosphaera	A0839.Genus	Polymorphobacter	Magnetospirillum	Blastomonas	Rhizobiaceae.Genus	alphaI.cluster	Alsobacter	Mycoplana	Martelella	Pseudochrobactrum	Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium	Shinella	Hyphomicrobium	Pedomicrobium	Methyloligellaceae.Genus	Bauldia	Alphaproteobacteria.Genus	Rhizobiales.Incertae.Sedis.Genus	Nordella	Xanthobacteraceae.Genus	Phreatobacter	Aminobacter	Paracoccus	Defluviimonas	Rhodobacteraceae.Genus	Tabrizicola	Gemmobacter	Pseudorhodobacter	Caulobacter	Bosea	Beijerinckiaceae.Genus	Pseudorhodoplanes	Bradyrhizobium	Novispirillum	Roseomonas	Rhodovarius	Rhodovastum	Rhodospirillales.Genus	Reyranella	Caedibacter	Candidatus.Megaira	Rickettsiaceae.Genus	Bdellovibrio	X0319.6G20.Genus	Desulfobacterota.Genus	Sandaracinaceae.Genus	Haliangium	Pajaroellobacter	Phaselicystis	Aetherobacter	Blfdi19.Genus	NB1.j.Genus	Candidatus.Berkiella	Candidatus.Competibacter	Stenotrophomonas	Luteimonas	Chitinibacter	Chitinilyticum	Sutterellaceae.Genus	Neisseriaceae.Genus	AAP99	Dechloromonas	Rhizobacter	Curvibacter	Rubrivivax	Comamonadaceae.Genus	Aquabacterium	Paucibacter	Crenobacter	IS.44	SC.I.84.Genus	A21b.Genus	Nitrosomonadaceae.Genus	Achromobacter	Cellvibrio	Shewanella	Aeromonas	Plesiomonas	Burkholderia.Caballeronia.Paraburkholderia	Citrobacter	Gammaproteobacteria.Genus	Pseudomonadales.Genus	Pseudomonas	Diplorickettsiaceae.Genus	Coxiella	Aquicella	Candidatus.Ovatusbacter	Legionella	CCM19a.Genus	Steroidobacter	Steroidobacteraceae.Genus	X.Agitococcus..lubricus.group	Acinetobacter	OM60.NOR5..clade	Gemmatimonadaceae.Genus	Vicinamibacteraceae.Genus	Subgroup.17.Genus	Neochlamydia	Parachlamydiaceae.Genus	Chlamydiales.Genus	Candidatus.Protochlamydia	Simkania	Paludibaculum.Genus	Nitrospira	SH3.11	Oikopleura	X11.24.Genus	SM1A02	CL500.3	Pirellulaceae.Genus	Pir4.lineage	Planctomycetes.Genus	Pirellula	Rhodopirellula	Blastopirellula	Planctomycetales.Genus	SH.PL14	Schlesneriaceae.Genus	Schlesneria	Gemmataceae.Genus	Gemmata	Fimbriiglobus	Telmatocola	Tundrisphaera	Isosphaeraceae.Genus	OM190.Genus
RTF001	0	5.22002401211046e-05	0	0	5.22002401211046e-05	0	0	0	0	0	0	0.028971133267213	0	0.0283708305058203	0.0573941640131545	0	0	0.0153990708357258	0.000548102521271598	0	0	0	0	0	0	0	0	0.00279271284647909	0.00200970924466253	0	0	0	0	0	0.000261001200605523	0.000417601920968836	0	0	0	0	0	0	0	0.00610742809416923	0	0	0	0	0	0	0.46831445424649	0	0.000756903481756016	0	0	0	0	0	0	0	0	0.001748708044057	0	0	0	0	0	0	0.0235684084146787	0	0	0.0033930156078718	0	0	0	0.00662943049538028	0.00386281776896174	0.00151380696351203	0	0	0	0	0	7.83003601816568e-05	0	0	0	0	0	0	0	0	0.00033930156078718	0.000261001200605523	0	0	0	0	0.0281098293052148	0	0	0	0	0	0	0	0	0	0	0.00101790468236154	0	0.000287101320666075	0.000261001200605523	0	0	0	0	0	0	0.0192096883645665	0	0	0.00717753301665188	0	0	0.000522002401211046	0	0.00200970924466253	0.0760557498564493	0	7.83003601816568e-05	0.000365401680847732	0	0.000991804562300987	0	0	0	0	0	0	0	7.83003601816568e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00297541368690296	0.0208278958083207	0	0	0	0	0	0.00190530876442032	0.00101790468236154	0	0.0650675993109568	0.000809103721877121	0	0	0	0	0	0	0	0.0360181656835621	0.075899149136086	0	0	0	0	0.000730803361695464	0	0	0	0.000130500600302761	0	0	0	0	0	7.83003601816568e-05	0	0	0	0	0	0	0	0	0	0	0	0.00279271284647909	0	0	0	0.000626402881453255	0	0	0	0.00122670564284596	0	0	0	0.000887404082058777	0	0	0	0	0	0	0	0	0
RTF002	0	0	0	0	0	0	0	0	0	0	0	0.00392876602334318	0	0.0424421439018095	0.0871784577442574	0.00106105359754524	0	0.0295374379857188	0.00129047059160907	0	0	0	0	0	0	0	0	0.000430156863869691	0.000344125491095753	0	0	0	0	0	0	8.60313727739382e-05	0	0	0	0	0	0	0	0.00788620917094434	0	0	0	0	0	0	0.570932866852112	0	0.000200739869805856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0171775974305297	0	0	0.00149121046141493	0	0	0	0.00126179346735109	0.00117576209457716	0.000229416994063835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00048751111238565	0.000172062745547876	0	0	0	0	0.0118436523185455	0	0	0	0	0	0	0	0.000372802615353732	0	0	0	0	0	0	0	0	0	0	0	0	0.00854578302887786	0	0	0.00438760001147085	0	0	0.000516188236643629	0	0	0.0366493648016977	0	0	0.000229416994063835	0	0.000286771242579794	0	0	0.000114708497031918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00269564968025006	0.0124458719279631	0	0	0	0	0	0	0	0	0.0484356628717272	0.00192136732528462	0	0	0	0	0	0	0	0.0379971896418227	0.0607668263026584	0	0	0	0	0.000774282354965444	0	0	0	0	0.000659573857933526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000745605230707465	0	0	0	0	0	0	0	0.00301109804708784	0	0	0	0.000286771242579794	0	0	0	0	0	0	0	0	0
RTF003	0	0	0	0	0	0	0	0	0	0	0	0.0287577823895642	0	0.0186238309570655	0.0828234913618845	0.000673799962267202	0	0.0301323343125893	0.00132064792604372	0	0	0	0	0	0	0	0	0.00291081583699431	0.00301862383095707	0	0	0	0	0	0.000161711990944128	0.00102417594264615	0	0	0	0	0	0	0	0.00762741557286473	0	0	0	0	0	0	0.387084602323262	0	0	0	0	0	0	0	0	0	0	0.00299167183246638	0	0	0	0	0	0	0.0315877422310864	0	0.000188663989434817	0.00307252782793844	0	0	0.000188663989434817	0.0105921354068404	0.00423146376303803	0.00223701587472711	0	0	0	0	0	0.000377327978869633	0	0	0	0	0	0	0	0	0.000997223944155459	0.000242567986416193	0	0	0	0	0.0175187990189473	0	0	0	0	0	0	0	0	0.000161711990944128	0	0.000323423981888257	0	0	0	0	0	0	0	0	0	0.0282456944182411	0	0	0.00657628763172789	0	0	0.000404279977360321	0	0.00223701587472711	0.0897501549739913	0	0.000188663989434817	0.00056599196830445	0	0.0013475999245344	0	0	0.000592943966795138	0	0.000269519984906881	0	0.000161711990944128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00587553567097	0.0267363825027626	0	0	0	0	0	0.00229091987170849	0	0	0.0568687168153519	0.00129369592755303	0	0	0	0	0	0	0	0.0466269573888904	0.0774330916637469	0	0	0.000269519984906881	0	0.00137455192302509	0	0	0	0	0.00013475999245344	0	0	0	0	0	0	0	0	0	0	0.000107807993962752	0.00013475999245344	0	0	0	0	0.00447403174945422	0	0	0	0.000619895965285826	0.000188663989434817	0	0	0.00493221572379592	0	0	0	0.00142845592000647	0	0	0	0	0	0	0	0	0
RTF004	0	0.000325185626795296	0	0	0	0	0	0	0	0	0	0.036935667443499	0.000487778440192943	0.0208118801148989	0.0904287030513251	0.00111105089155059	0	0.0503495745488049	0.0107582244864777	0	0	0	0	0	0	0	0	0.00354994309251531	0.00287247303669178	0.000135494011164707	0	0	0	0	0.000379383231261178	0.000650371253590591	0	0	0	0	0	0	0	0.00346864668581649	0	0	0	0	0	0	0.371145195382364	0	0	0	0	0	0	0	0	0	0	0.00219500298086825	0	0	0	0	0	0	0.0255812693078966	0	0	0.00233049699203295	0	0	0.000379383231261178	0.00994526041948946	0.00528426643542355	0.00186981735407295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000975556880385887	0.000270988022329413	0	0	0	0	0.0162050837352989	0	0	0	0	0	0	0	0	0	0	0.000379383231261178	0	0	0.000460679637960002	0	0	8.12964066988239e-05	0	0	0	0.0257980597257601	0	0	0.0065579101403718	0	0	0.00062327245135765	0	0.00243889220096472	0.100211370657417	0	0.000541976044658826	0.000812964066988239	0	0.000731667660289415	0	0	0.000460679637960002	0	0	0	0	0	0	0	0	0	0	0	0.000487778440192943	0	0	0	0	0	0	0	0	0	0	0.00560945206221885	0.025391577692266	0	0	0	0	0	0.00219500298086825	0.000785865264755298	0.00306216465232237	0.0573952631293697	0.000596173649124709	0	0	0	0	0	0	0	0.056799089480245	0.0404856105360143	0	0	0	0	0.000433580835727061	0	0	0	8.12964066988239e-05	0.000243889220096472	0	0	0	0	0	0	0	0	0	0.000135494011164707	0	0	0	0	0	0	0.00425451195057178	0	0	0	0.000704568858056474	0	0	0	0.00238469459649883	0	0	0	0.00102975448485177	0	0	0.000162592813397648	0	0	0	0.00021679041786353	0	0
RTF005	0	0	0	0	0	0	0	0	0	0	0	0.0433832709113608	0.000216076058772688	0.030466724286949	0.0513300681840008	0.000744261980217036	0	0.0315711130317872	0.000576202823393835	0	0	0	0	0	0	0	0	0.00475367329299914	0.00290502256794392	0	0	0	0	0	0.000168059156823202	0.000792278882166523	0	0	0	0	0	0	0	0.00379333525400941	0	0	0	0	0	0	0.40281379045424	0	0	0	0	0	0	0	0	0	0	0.00223278594065111	0	0	0	0	0	0	0.030466724286949	0	0	0.00489772399884759	0	0	0.000240084509747431	0.00883510995870546	0.00653029866513013	0.00175261692115625	0	0	0	0	0	0.000168059156823202	0	0	0	0	0	0	0	0	0.00069624507826755	0.000408143666570633	0	0	0	0	0.0200230481129358	0	0	0	0	0	0	9.60338038989724e-05	0	0.000336118313646404	0	0.000816287333141266	0	0.000216076058772688	0.000216076058772688	0	0	0	0	0	0	0.0288341496206665	0	0	0.00516181695956977	0	0	0.000576202823393835	0	0.00259291270527226	0.104388744838183	0	0.00031210986267166	0.00127244790166138	0	0.00148852396043407	0	0	0.000624219725343321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00242485354844905	0.0287621242677422	0	0	0	0	0	0.00163257466628253	0	0	0.0771391529818496	0.000672236627292807	0	0	0	0	0	0	0	0.0338999327763373	0.0430951694996639	0	0	0	0	0.00100835494093921	0	0	0	0	0.000192067607797945	0	0	0	0	0	0	0	0	0	0	0	0.000120042254873716	0	0	0	0	0.00710650148852396	0	0	0	0.00196869297992894	0	0	0	0.00360126764621147	0	0	0	0.00148852396043407	0	0	0	0	0	0	0.000192067607797945	0	0
RTF021	0	7.5122073369225e-05	0	0	0	0	0	0	0	0	0	0.0732690622261174	0.0006009765869538	0.00718667835232252	0	0.00102666833604607	0	0.0138725428821835	0.00035056967572305	0	0	0	0	0	0	0.0007011393514461	0	0.0052084637535996	0.0044071616376612	0.000425691749092275	0	0	0	0	0	0.00282959809690747	0	0	0	0	0	0	0	0.0109427820207838	0	0	0	0	0	0	0.406134969325153	0	0	0	0	0	0	0	0	0	0	0.00142731939401527	0	0	0	0	0	0	0.0190559659446601	0	0	0.00145236008513835	0	0	0.00222862150995367	0.023037435833229	0.0178790534618755	0.00145236008513835	0	0	0	0	0	0.0008013021159384	0	0	0	0	0	0	0	0	0.000976586953799925	0.00045073244021535	0	0	0.00035056967572305	0	0.0384625015650432	0	0	0	0	0	0	0	0.000475773131338425	0.0006009765869538	0	0	0	0	0	0	0	0	0	0	0	0.0297733817453362	0	0	0.00055089520470765	0	0	0.00025040691123075	0	0.000826342807061475	0.0700888944534869	0	0	0.0004006510579692	0	0	0	0	0.00025040691123075	0	0.000325528984599975	0	0.0001001627644923	0	0	0	0	0	0	0	0.00676098660323025	0	0	0	0	0	0	0	0	0	0	0.00162764492299987	0.0228621509953675	0	0	0	0	0	0.00162764492299987	0.00045073244021535	0	0.0372104670088894	0.00393138850632277	0	0	0	0	0	0	0	0.0279454112933517	0.143958933266558	0	0	0	0.00015024414673845	0.0017027669963691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000325528984599975	0.0004006510579692	0	0.000375610366846125	0	0	0	0.0073118818079379	0	0	0	0	0	0	0	0.00242894703893827	0	0	0	0.0006009765869538	0	0	0.00195317390759985	0	0	0	0.000125203455615375	0	0
RTF022	0	0	0	0	0	0	0	0	0	0	0	0.0671211326691138	0.00143635576024258	0.00670299354779873	0.000182394382253027	0.00054718314675908	0	0.0115136453797223	0.000569982444540708	0	0	0	0	0	0	0	0	0.00638380337885593	0.0041038736006931	0.000501584551195823	0	0	0	0	0	0.00346549326280751	0	0	0	0	0	0	0	0.0126308109710221	0	0	0	0	0	0	0.376439205672465	0	0	0	0	0	0	0	0	0	0	0.00123116208020793	0	0	0	0	0	0	0.0292742983516108	0	0	0.000889172613483505	0	0	0.00139075716467933	0.0327625909121999	0.0234148788217323	0.00111716559129979	0	0	0	0	0	0.00125396137798956	0	0	0	0	0	0	0	0	0.000866373315701876	0.000478785253414195	0	0	0.000911971911265133	0	0.0779507991153872	0	0	9.11971911265133e-05	0	0	0	0	0.000615581040103965	0.00068397893344885	0	0	0	0	0	0	0	0	0	0	0	0.0206333644923736	0	0	0.000911971911265133	0	0	0.000205193680034655	0	0.000934771209046761	0.0809603064225622	0	0.00013679578668977	0	0	0.00068397893344885	0	0	0.000455985955632567	0	0.00068397893344885	0	0.000227992977816283	0	0	0	0.000159595084471398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00145915505802421	0.0236884703951118	0	0	0	0	0	0.00196073960922004	0	0	0.0201089806433962	0.000911971911265133	0	0	0	0	0	0	0	0.0441166412074508	0.11579763343289	0	0	0	4.55985955632566e-05	0.00095757050682839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00054718314675908	0	0	6.8397893344885e-05	0	0	0	0.0101456875128246	0	0	0	0	0.00013679578668977	9.11971911265133e-05	0	0.00332869747611774	0	0	0	0.00127676067577119	0	0	0.00408107430291147	0	0.000159595084471398	0	0.000592781742322336	0	0
RTF023	0	0	0	0	0	0	0	0	0	0	0	0.0984446722224698	0.00113641427871117	0.0058380498239672	0.000222826329159053	0.00189402379785195	0.000222826329159053	0.014840233521993	0.000401087392486296	0	0	0	0	0	0	0	0	0.00989348901466197	0.00615000668478987	0.000467935291234012	0	0	0	0	0.000200543696243148	0.00354293863362895	0	0	0	0	0	0	0	0.0143054503320112	0	0	0	0	0	0	0.312335665582245	0	0	0	0	0	0	0	0	0	0	0.00102500111413165	0	0	0	0	0	0	0.00490217924149918	0	0	0.00106956637996346	0	0.00106956637996346	0.00115869691162708	0.0391060207674139	0.033201123044699	0.00191630643076786	0	0	0	0	0	0.00182717589910424	0	0	0	0	0	0	0	0	0.00111413164579527	0	0	0	0.000935870582468024	0	0.035072864209635	6.6847898747716e-05	0	0	0	0	0	0	0.000891305316636214	0.00100271848121574	0	0	0	0	0	0	0	0	0	0	0	0.0328891661838763	0	0	0.00122554481037479	0	0	0.000467935291234012	0	0.00242880698783368	0.105174027363073	0	0.000155978430411337	0.000779892152056687	0	0.000869022683720308	0	0	0.00129239270912251	0	0.00104728374704755	0	0.000222826329159053	0	0	0	8.91305316636214e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00443424395026516	0.0337359062346807	0	0	0	0	0	0.00265163331699274	0.000378804759570391	0	0.0371451490708142	0.00294130754489951	0	0	0	0	0	0	0	0.0378804759570391	0.10584250635055	0	0	6.6847898747716e-05	0	0.00403315655777887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000980435848299835	0.000779892152056687	0	0.000267391594990864	0	0	0	0.0125674049645706	0	0	0	0.000111413164579527	0.000133695797495432	0	0	0.00548152769731271	0	0	0	0.00202771959534739	0	0	0.0062614198493694	0	0	0	0.00138152324078613	0	0
RTF024	0	0.000133206047554559	0	0	0	0	0	0	0	0	0	0.106720245099128	0.00277512599071998	0.00836977998801146	0	0.000888040317030393	0	0.0161401327620274	0	0	0	0	0	0	0	0.00250871389561086	0	0.0149190773261106	0.00816997091667962	0.00244211087183358	0	0	0	6.66030237772795e-05	0.000288613103034878	0.00450680460892925	0	0	0	0	0	0	0.000266412095109118	0.00814776990875386	0	0	0	0	0	0	0.151077858934796	0	0	0	0	0	0	0	0	0	0	0.00182048264991231	0	0	0	0	0	0	0.000910241324956153	0	0	0.00275292498279422	0	0.00157627156272895	0.000599427213995515	0.0652709633017339	0.0364540550140976	0.0022645028084275	0.000155407055480319	0	0	0.000421819150589437	0	0.000643829229847035	0	0	0	6.66030237772795e-05	0.000199809071331838	0	0	0	0.00104344737251071	0.000111005039628799	0	0	0.00175387962613503	0	0.03900717092556	0	0	0	0	0	0	0.000133206047554559	0.00162067357858047	0.000843638301178873	0	0.000599427213995515	0	0	0	0	0	0	0	0	0	0.0654041693492885	0	0	0.0021534977687987	0	0	0	0	0.00308594010168062	0.155407055480319	0	0.000266412095109118	0.0024865128876851	0	0.00210909575294718	0	0	0.000865839309104633	0	0.00142086450724863	0	0.000466221166440956	0	0	0	0.000222010079257598	0	0	0	0.00981284550318584	0	0.00113225140421375	0	0	0	0	0	0	0	0	0.00130985946761983	0.0337011300313034	0	0	0	0	0	0.00379637235530493	0.00452900561685501	0.000577226206069756	0.0621850232000533	0.00348555824434429	0	0	0	0	0	0	0	0.0165397509046911	0.104966365472992	0	0	4.44020158515197e-05	0	0.00386297537908221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00104344737251071	0.000466221166440956	0	0.000244211087183358	0	0	0	0.0110116999311769	0	0	0	0.000155407055480319	6.66030237772795e-05	0	0	0.00457340763270653	0	0	0	0.00250871389561086	0	0	0.0129653886286437	0	0	0	0.00146526652310015	0	0
RTF025	0	5.86624951114587e-05	0	0	0	0	0	0	0	0	0	0.117149002737583	0.0020336331638639	0.00921001173249902	0	0.000919045756746187	0	0.0165623777864685	0.000430191630817364	0	0	0	0	0	0	0	0	0.0124755572937036	0.00596402033633164	0.000664841611263199	0	0	0	0	0.000410637465780211	0.00482987876417677	0	0	0	0	0	0	0	0.00660930778255768	0	0	0	0	0	0	0.285999217833398	9.77708251857646e-05	0	0	0	0	0	0	0	0	0	0.000919045756746187	0	0	0	0	0	0	0.00698083691826359	0	0	0.00168165819319515	0	0	0.000645287446226046	0.0490614000782167	0.0299960891669926	0.00217051231912397	0	0	0	0	0	0.00101681658193195	0	0	0	0	0	0	0	0	0.000919045756746187	0	0	0	0.000860383261634728	0	0.0701798983183418	0	0	0	0	0	0	0.00013687915526007	0.000801720766523269	0.000782166601486116	0	0.000449745795854517	0	0	0	0	0	0	0	0	0	0.0357841220179898	0	0	0.000958154086820493	0	0	0.000195541650371529	0	0.00238560813453266	0.114939382088385	0	0.000273758310520141	0.00117324990222917	0	0.00134923738756355	0	0	0.000958154086820493	0	0.00105592491200626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000508408290965976	0.0315017598748533	0.000156433320297223	0	0	0	0	0.00281579976535002	0.00215095815408682	0.000195541650371529	0.0336136096988659	0.00174032068830661	0	0	0	0	0	0	0	0.0155260070394994	0.0950332420805632	0	0	0	0.000215095815408682	0.000977708251857646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000684395776300352	0.000175987485334376	0	0	0	0	0	0.0114782948768088	0	0	0	7.82166601486116e-05	0.000117324990222917	7.82166601486116e-05	0	0.00498631208447399	0	0	0	0.00177942901838092	0	0	0.00621822448181463	0	0	0	0.000879937426671881	0	0
