feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Saccharimonadales.Genus	Treatment	Exposed	5.8412153331422	0.540932712994996	89	58	1.11489510778804e-17	5.08392169151346e-15
Planctomycetales.Genus	Treatment	Exposed	4.52511785378216	0.447715696307939	89	33	2.76283850698264e-16	6.29927179592042e-14
Gemmataceae.Genus	Treatment	Exposed	6.22574904376471	0.646203562152953	89	68	2.51668897508145e-15	3.8253672421238e-13
Clostridium.sensu.stricto.3	Treatment	Exposed	3.42119119290958	0.363940950643973	89	32	7.52911742567983e-15	8.583193865275e-13
CL500.3	Treatment	Exposed	-4.53471093868129	0.504073281603087	89	57	5.01127248491203e-14	4.57028050623977e-12
JG30.KF.CM45.Genus	Treatment	Exposed	4.68692149533123	0.547743269952837	89	42	3.92824465336097e-13	2.56626811424819e-11
Chitinibacter	Treatment	Exposed	3.81196287475966	0.445521742072393	89	31	3.93944666660906e-13	2.56626811424819e-11
Gemmata	Treatment	Exposed	2.7182540176199	0.321187393948025	89	31	6.08909520525902e-13	3.47078426699764e-11
NB1.j.Genus	Treatment	Exposed	2.65952073836846	0.330354939912939	89	31	4.18193406373781e-12	1.99172621359351e-10
Steroidobacteraceae.Genus	Treatment	Exposed	3.34978749820617	0.416580244973969	89	29	4.36782064384542e-12	1.99172621359351e-10
Telmatocola	Treatment	Exposed	2.76184659979514	0.346113425230168	89	30	5.81735689424168e-12	2.41155885797655e-10
Pir4.lineage	Treatment	Exposed	3.81752969975784	0.480495408925099	89	35	6.83372220081092e-12	2.59681443630815e-10
Alphaproteobacteria.Genus	Treatment	Exposed	2.03078455770507	0.261984392439644	89	29	1.67780769159193e-11	5.88523313358401e-10
PeM15.Genus	Treatment	Exposed	-4.28502408413781	0.595918066453816	89	78	2.22257981037051e-10	7.18175295580291e-09
Methyloligellaceae.Genus	Treatment	Exposed	1.55894391350124	0.21720539666733	89	26	2.36241873546148e-10	7.18175295580291e-09
Sandaracinaceae.Genus	Treatment	Exposed	2.9628939124136	0.433077008052849	89	25	1.08719038121328e-09	3.09849258645784e-08
