feature	Anaerospora	RBG.13.54.9.Genus	Meiothermus	Deinococcus	WPS.2.Genus	KD4.96.Genus	Caldilineaceae.Genus	Lineage.IIb.Genus	SBR1031.Genus	JG30.KF.CM45.Genus	Candidatus.Obscuribacter	Obscuribacteraceae.Genus	Vampirovibrio	Vampirovibrionaceae.Genus	Frankiales.Genus	Nakamurella	Micromonospora	PeM15.Genus	Longivirga	Gordonia	Corynebacteriales.Genus	Nocardia	Nocardiaceae.Genus	Smaragdicoccus	Mycobacterium	Rhodococcus	Nocardioides	Marmoricola	Brevibacterium	Kineosporiaceae.Genus	Leucobacter	Agromyces	Glutamicibacter	Kocuria	IMCC26207	Microtrichales.Genus	Iamia	Acidimicrobiia.Genus	IMCC26256.Genus	Ilumatobacteraceae.Genus	Microtrichaceae.Genus	Gaiellales.Genus	X67.14.Genus	Conexibacter	Thermoleophilia.Genus	Gaiella	Clostridium.sensu.stricto.12	Clostridium.sensu.stricto.3	Clostridium.sensu.stricto.5	Clostridium.sensu.stricto.18	Clostridium.sensu.stricto.13	Clostridium.sensu.stricto.9	Acidaminobacter	Paraclostridium	Thermoactinomycetaceae.Genus	Peptostreptococcaceae.Genus	Peptostreptococcus	Amnipila	Geothermomicrobium	Lachnoclostridium	Cetobacterium	Brevibacillus	Enterococcus	Ligilactobacillus	Limosilactobacillus	Lactobacillus	Weissella	Streptococcus	Carnobacterium	Vagococcus	Staphylococcus	Bacillus	Geobacillus	Planococcaceae.Genus	Lysinibacillus	Exiguobacterium	Brochothrix	Holophagaceae.Genus	Kapabacteriales.Genus	Candidatus.Amoebophilus	Barnesiellaceae.Genus	Flavobacterium	Chryseobacterium	Cloacibacterium	NS9.marine.group.Genus	AKYH767.Genus	Sphingobacteriales.Genus	env.OPS.17.Genus	Fluviicola	Chitinophagales.Genus	Dinghuibacter	Chitinophagaceae.Genus	Sediminibacterium	Ferruginibacter	Terrimonas	Aurantisolimonas	Flavihumibacter	Saprospiraceae.Genus	Haliscomenobacter	Bacteroidia.Genus	Cytophagales.Genus	Cytophaga	Microscillaceae.Genus	Hassallia	Ohtaekwangia	OLB12	Flectobacillus	Runella	Fibrobacteraceae.Genus	Babeliales.Genus	Vermiphilaceae.Genus	Babeliaceae.Genus	BD7.11.Genus	Verrucomicrobiaceae.Genus	Pedosphaeraceae.Genus	DEV008	Chthoniobacter	Verrucomicrobiae.Genus	Brevifollis	Luteolibacter	Methanosarcina	Methanobacteriaceae.Genus	Opitutaceae.Genus	Saccharimonadales.Genus	TM7a	ZOR0006	Armatimonadota.Genus	Defluviicoccales.Genus	Candidatus.Alysiosphaera	A0839.Genus	Hirschia	SWB02	Polymorphobacter	Magnetospirillum	Novosphingobium	Sphingopyxis	Sphingorhabdus	Rhizorhapis	Blastomonas	Rhizobiaceae.Genus	alphaI.cluster	Alsobacter	Mesorhizobium	Mycoplana	Martelella	Pseudochrobactrum	Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium	Shinella	Hyphomicrobium	Pedomicrobium	Methyloligellaceae.Genus	Bauldia	Devosia	Alphaproteobacteria.Genus	Rhizobiales.Incertae.Sedis.Genus	Nordella	Xanthobacteraceae.Genus	Phreatobacter	Aminobacter	Paracoccus	Defluviimonas	Rhodobacteraceae.Genus	Tabrizicola	Gemmobacter	Pseudorhodobacter	Phenylobacterium	Caulobacter	Bosea	Beijerinckiaceae.Genus	Pseudorhodoplanes	Bradyrhizobium	Afipia	Fodinicurvataceae.Genus	Novispirillum	Elstera	Roseomonas	Rhodovarius	Rhodovastum	Rhodospirillales.Genus	Reyranella	Holosporaceae.Genus	Caedibacter	Oligoflexaceae.Genus	Candidatus.Megaira	Rickettsiaceae.Genus	Bacteriovoracaceae.Genus	Bdellovibrio	OM27.clade	X0319.6G20.Genus	Desulfobacterota.Genus	MBNT15.Genus	Sandaracinaceae.Genus	mle1.27.Genus	Haliangium	Anaeromyxobacter	Blfdi19.Genus	Pajaroellobacter	Phaselicystis	Aetherobacter	Polyangia.Genus	NB1.j.Genus	P3OB.42	SAR324.clade.Marine.group.B..Genus	Desulfobulbus	Candidatus.Berkiella	Candidatus.Competibacter	Ahniella	Stenotrophomonas	Luteimonas	Sulfurifustis	Chitinibacter	Chitinilyticum	Sutterellaceae.Genus	Rheinheimera	Undibacterium	Neisseriaceae.Genus	Leeia	Burkholderiales.Genus	AAP99	Azospira	Dechloromonas	Candidatus.Accumulibacter	Dechlorobacter	Zoogloea	Rhizobacter	Inhella	Comamonadaceae.Genus	Curvibacter	Hydrogenophaga	Ideonella	Rubrivivax	Aquabacterium	Paucibacter	Nitrosomonas	Crenobacter	Chitinivorax	TRA3.20.Genus	IS.44	SC.I.84.Genus	Sulfuritalea	A21b.Genus	Nitrosomonadaceae.Genus	Achromobacter	Cellvibrio	Shewanella	Vibrio	Aeromonas	Plesiomonas	Burkholderia.Caballeronia.Paraburkholderia	Citrobacter	Gammaproteobacteria.Genus	Pseudomonadales.Genus	Porticoccus	Pseudomonas	Diplorickettsiaceae.Genus	Coxiella	Aquicella	Candidatus.Ovatusbacter	Legionella	CCM19a.Genus	Ga0077536.Genus	Steroidobacter	Steroidobacteraceae.Genus	X.Agitococcus..lubricus.group	Acinetobacter	OM60.NOR5..clade	Turneriella	Gemmatimonadaceae.Genus	Vicinamibacteraceae.Genus	Subgroup.17.Genus	Chlamydiales.Genus	Neochlamydia	Parachlamydiaceae.Genus	Candidatus.Protochlamydia	Chlamydiaceae.Genus	Simkania	Leptospirillum	Bryobacter	Paludibaculum.Genus	Nitrospira	SH3.11	Oikopleura	X11.24.Genus	JGI.0001001.H03	SM1A02	CL500.3	Planctomycetota.Genus	Pirellulaceae.Genus	Pir4.lineage	Planctomycetes.Genus	Pirellula	Rhodopirellula	Blastopirellula	Planctomycetales.Genus	SH.PL14	Schlesneriaceae.Genus	Schlesneria	Gemmataceae.Genus	Gemmata	Fimbriiglobus	Telmatocola	Tundrisphaera	Isosphaeraceae.Genus	OM190.Genus	vadinHA49.Genus
RTF031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0487507142486105	0.00607760635811127	0.00573996156043842	0	0.00218170484650148	0.00501272661160459	0.000259726767440652	0.00599968832787907	0	0.000337644797672848	0	0	0	0.000675289595345696	0	0.000103890706976261	0	0.0120513220092463	0.0278167367928939	0	0	0.000337644797672848	0	0	0.00111682509999481	0.00337644797672848	0	0	0	0	0	0	0	0	0	0	0.00363617474416913	0	0	0	0	0	0	0.0981507454158226	0.000181808737208457	0	0	0	0	0	0	0	0	0	0.00527245337904524	0	0	0	0	0	0	0	0	0.000779180302321957	0.000441535504649109	0	0.00340242065347255	0.00163627863487611	0	0	0.00111682509999481	0.00711651342787388	0	0.104851696015791	0	0	0	0	0.0158952781673679	0.00267518570463872	0.000441535504649109	0	0	0.00446730039997922	0.000779180302321957	0.00166225131162018	0	0	0	0	0.00122071580697107	0	0	0	0	0	0	0	0	0.00184406004882863	0.00135057919069139	0	0	0	0	0	0.000441535504649109	0	0.0175835021557322	0	0	7.79180302321957e-05	0	0	0	0	0	0	0	0	0	0.000597371565113501	0.00212975949301335	0.00176614201859644	0	0	0	0	0	0.000857098332554153	0	0	0	0	0	0	0	0.0711651342787388	0	0	0.00270115838138279	0	0	0.000311672120928783	0	0.00599968832787907	0.351046698872786	0	0	0.000181808737208457	0.00392187418835385	0	0.00225962287673368	0	0	0	0	0	0.00124668848371513	0	0.00184406004882863	5.19453534881305e-05	0.000960989039530414	0	0	0	0	0	0	0.00779180302321957	0	0	0	0	0	0	0.000623344241857566	0	0	0	0.00207781413952522	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000207781413952522	0.0352449223416965	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00903849150693471	0	0	0	0.00259726767440652	0	0.0271933925510363	0	0.00129863383720326	0	0	0	0	0	0	0	0	0.000805152979066023	0	0	0.0128564749883123	0.0104929614046024	0	0	0.000441535504649109	0	0	0.000960989039530414	0	0	0	0	0.000103890706976261	0	0	0	0	0	0	0	0	0	0	0	0	0.000831125655810088	0.000675289595345696	0.000337644797672848	0	0	0	0	0	0	0.0196093709417693	0	0	0	0	0.000285699444184718	0	0	0	0	0.00986961716274479	0	0	0	0.0115058957976209	0	0	0	0	0.000129863383720326	0	0.00290893979533531	0	0.000207781413952522	0
RTF032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0296138197825652	0.000711443117899464	0.00262344649725427	0	0.000844838702505614	0.00424642610996243	0	0.00355721558949732	0	0	0	0	0	0	0	0	0	0.00397963494075013	0.0060694990995798	0	0	0	0	0	0.000222325974343583	0.00155628182040508	0	0	0	0	0	0	0	0	0	0	0.0107828097556638	0	0	0	0	0	0	0.461904444296227	0	0	0	0	0	0	0	0	0	0	0.000778140910202539	0	0	0	0	0	0	0	0	0.034504991218124	0	0	0.00100046688454612	0	0	0	0	0.00144511883323329	0	0.0181862647013051	0	0	0	0	0.0053802885791147	0	0	0	0	0	0	0.00013339558460615	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00013339558460615	0.000778140910202539	0	0	0	0	0	0.00013339558460615	0	0.0169190066475466	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000600280130727673	0.000422419351252807	0	0	0.000666977923030748	0	0	0	0	0	8.8930389737433e-05	0	0	0	0	0.0133617910580493	0	0	0.000711443117899464	0	0	0.000533582338424598	0	0.00115609506658663	0.154850041130305	0	0	0.000311256364081016	0.000578047533293315	0	0.000400186753818449	0	0	0	0	0	0.000155628182040508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00320149403054759	0.0259009760110274	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000600280130727673	0	0	0	0.00128949065119278	0	0.0159630049578692	0	0.00260121389981992	0	0	0	0	0	0	0	0	0	0	0	0.0583161030703217	0.0990017563751973	0	0	0	0	0	0.000555814935858956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00131172324862714	0.000155628182040508	0.000111162987171791	0	0	0	0	0	0	0.00666977923030748	0	0	0	0	0.000111162987171791	0	0	0	0	0.00280130727672914	0	0	0	0.00146735143066764	0	0	0.000200093376909224	0	0	0	0.000400186753818449	0	0	0
RTF033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0319387696380273	0.000258962997065086	0.00310755596478103	0	0.000575473326811302	0.00253208263796973	0	0.0037118029579329	0	0	0	0	0	0	0	0	0	0.00417218161938194	0.00535190193934511	0.000172641998043391	0	0	0	0	0	0.00140990965068769	0	0	0	0	0	0	0	0	0	0	0.0163722161477815	0	0	0	0	0	0	0.426886113828624	0	0	0	0	0	0	0	0	0	0	0.000776888991195258	0	0	0	0	0	0	0	0	0.0589284686654774	0	0	0.000402831328767912	0	0	0	0	0.0037118029579329	0	0.0275651723542614	0	0	0	0	0.00302123496575934	0	0	0	0	0	0	0.000431604995108477	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000201415664383956	0.000489152327789607	0	0	0	0	0	0	0	0.0132646601830005	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000949530989238649	0.000517925994130172	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0149335328307533	0	0	0.000661794325832998	0	0	0	0	0.00164009898141221	0.171116993727341	0	0	0	0.000431604995108477	0	0.000489152327789607	0	0	0	0	0	0.000143868331702826	0	0.000143868331702826	0	0.000287736663405651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023882143062669	0.0376935029061403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000863209990216953	0	0.0201991137710767	0	0.00500661794325833	0	0	0	0	0	0	0	0	0	0	0	0.022759970075387	0.0993842435403119	0	0	0	0	0	0.000891983656557519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000748115324854693	0.00011509466536226	0	0	0	0	0	0	0	0.00750992691488749	0	0	0	0	0	0	0	0	0	0.00293491396673764	0	0	0	0.00149623064970939	0	0	0.000431604995108477	0	8.63209990216953e-05	0	0.000891983656557519	0	0	0
RTF034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0564114552893045	0.00198714202220923	0.00572764465225015	0	0.00126241963763881	0.00416130917592051	0.000374050263004091	0.00677966101694915	0	0	0	0	0	0	0	0.000467562828755114	0	0.00916423144360023	0.0117124488603156	0.000116890707188778	0	0	0	0	0.000701344243132671	0.00364699006428989	0	0	0	0	0	0	0	0	0.000303915838690824	0	0.0140502630040912	0	0	0	0	0	0	0.29094097019287	0	0	0	0	0	0	0	0	0	0	0.00130917592051432	0	0	0	0	0	0	0	0	0.0234248977206312	0	0	0.0016364699006429	0	0	0	0	0.00607831677381648	0	0.0539801285797779	0	0	0	0	0.00998246639392168	0.00137931034482759	0	0	0	0	0	0.000303915838690824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000911747516072472	0	0	0	0	0	7.01344243132671e-05	0	0.0204324956165985	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00154295733489188	0.000537697253068381	0	0	0.000888369374634717	0	0	0	0	0.000233781414377557	0.000210403272939801	0	0	0	0	0.0239158386908241	0	0	0.00215078901227352	0	0	0.000911747516072472	0	0.00388077147866745	0.252273524254822	0	0	0.000701344243132671	0.00133255406195207	0	0.00135593220338983	0	0	0	0	0	0.000444184687317358	0	0.000303915838690824	0	0.000374050263004091	0	0	0	0	0	0	4.67562828755114e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000771478667445938	0.0440911747516072	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00114552893045003	0	0	0	0.0020572764465225	0	0.0245236703682057	0	0.00275862068965517	0	0	0	0	0	0	0	0	0	0	0	0.0220923436586791	0.0569257744009351	0	0	0	0	0	0.000467562828755114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00135593220338983	0.000374050263004091	0	0	0	0	0	0	0	0.0121098772647575	0	0	0	0	0	0	0	0	0	0.00715371127995324	0	0	0	0.00381063705435418	0	0	0.000748100526008182	0	7.01344243132671e-05	0	0.00112215078901227	0	0	0
RTF035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0208747251582823	0.000741741503086174	0.00275503986860579	0	0.00103313995072717	0.0042650136427455	0.000609287663249358	0.00341730906778988	0	0	0	0	0	0	0	0.000476833823412541	0	0.00354976290762669	0.00649023815200403	0	0	0	0	0	0.00023841691170627	0.0021722429733238	0	0	0	0	0	0	0	0	0	0	0.00982807491589181	0	0	0	0	0	0	0.360247953588175	0	0.000132453839836817	0	0	0	0	0	0	0	0	0.000609287663249358	0	0	0	0	0	0	0	0	0.0369016397785372	0	0	0.000291398447640997	0	0	0	0	0.00230469681316061	0	0.0240006357784312	0	0	0	0	0.00278153063657315	0.000211926143738907	0	0	0	0	0	0.000794723039020901	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000317889215608361	0.00124506609446608	0	0	0	0	0	0	0	0.0134043285914859	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00103313995072717	0.000715250735118811	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0179872314498397	0	0	0.000927176878857718	0	0	0.000211926143738907	0	0.00143050147023762	0.202786828790167	0	0	0.000529815359347267	0.000609287663249358	0	0.000556306127314631	0	0	0	0	0	7.94723039020901e-05	0	7.94723039020901e-05	0	0.000397361519510451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00394712442713714	0.0320538292405097	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000503324591379904	0	0	0	0.000609287663249358	0	0.0178547776100029	0	0.00249013218893216	0	0	0	0	0	0	0	0	0	0	0	0.106651831836605	0.0927441786537392	0	0	0	0	0	0.00196031682958489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00190733529365016	0.000264907679673634	0	0	0	0	0	0	0	0.00596042279265676	0	0	0	0	0	0	0	0.000105963071869453	0	0.00272854910063843	0	0	0	0.00177488145381335	0	0	0.000344379983575724	0	5.29815359347267e-05	0	0.00100664918275981	0	0	0
RTF036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0632004592766393	0	0.0137283778049572	0	0.00282055762174575	0	0	0.0192446896138582	0	0	0	0	0	0	0	0	0	0.0196690212914659	0.0012230736589871	0	0	0	0	0	0	0.00257095075256471	0	0	0	0	0	0	0	0	0	0	0.0361929960312508	0	0	0	0	0	0	0.392257194918004	0	0	0	0	0	0	0	0	0	0	0.00202181564036642	0	0	0	0	0	0	0	0.00024960686918104	0.0519182287896563	0.000798741981379328	0	0.000224646182262936	0	0	0	0.000299528243017248	0.00254599006564661	0	0.0135286923096124	0	0	0	0	0.00634001447719841	0.00721363851933205	0	0	0	0	0	0.0193445323615306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00037441030377156	0	0	0	0	0	0.000349449616853456	0	0.0211666625065522	0	0	0	0	0	0	0	0	0	0	0	0	7.4882060754312e-05	0	0.00107330953747847	0	0	0.00112323091131468	0	0	0	0	0.000199685495344832	0	0	0	0	0	0.00481741257519407	0	0	0.000648977859870704	0	0	0.000199685495344832	0	0.00192197289269401	0.0672440905573721	0	0	0.0006240171729526	0.000998427476724159	0	0.00107330953747847	0	0	0	0	0	0.00024960686918104	0	0.00117315228515089	0	0.000299528243017248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00541646906122856	0.0660709382722213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00147268052816814	0	0.0107580560617028	0	0.00242118663105609	0	0	0	0	0	0	0	0	0	0.00049921373836208	0	0.0206674487681901	0.0138531812395477	0	0	0	0.00297032174325437	0	0.00049921373836208	0	0	0	7.4882060754312e-05	0	0	0	0	0	0	0	0	0	0	0	0	4.9921373836208e-05	0.000149764121508624	0	0.000424331677607768	0	0	0	0	0	0	0.00653969997254324	0	0	0	0	0	0	0.00232134388338367	0	0	0.00431819883683199	0	0	0	0.0120310510945261	0	0	0.0835683798018121	0	0.00317000723859921	0	0.00371914235079749	0	0	0
RTF037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.68052715291979e-05	0.130652124517155	0.00105089752329016	0.0188309475119291	0	0.00658941149738696	0	0	0.0397352874346739	0.000227221086116792	0	0	0	0	0	0	0	0	0.0462678936605317	0.00363553737786867	0.000255623721881391	0	0	0	0	0.000397636900704385	0.00562372188139059	0	0	0	0	0	0	0	0	0.000170415814587594	0	0.0126675755510111	0	0	0	0	0	0	0.0543342422176778	0	0	0	0	0	0	0	0	0	0	0.00408997955010225	0	0	0	0	0	0	0	0.000340831629175187	0	0	0	0	0	0	0	0.0734776187230175	0.00124971597364235	0	0.0253919563735515	0	0	0	0	0.0122983412860713	0.0109350147693706	0.00207339241081572	0.00130652124517155	0	0	0	0.0440808907066576	0	0	0	0	0	0	0	0	0.000198818450352193	0	0	0.000255623721881391	0	0	0.000227221086116792	0	0	0	0	0	0.00164735287434674	0	0.0114178595773688	0	0	0	0	0	0	0	0	0	0	8.52079072937969e-05	0	0	0.000710065894114974	0.00244262667575551	0	0.000255623721881391	0.000880481708702568	0	0	0.000454442172233583	0	0.000568052715291979	0	0	0	0	0	0.00698704839809134	0	0	0.00173256078164054	0	0	0.000681663258350375	0	0.00656100886162236	0.140678254942059	0	0	0.00102249488752556	0.00159054760281754	0	0.00318109520563508	0	0	0	0	0	0.000198818450352193	0	0.0055101113383322	0	0.00204498977505112	0.000170415814587594	0	0.000568052715291979	0	0	0	0.00150533969552374	0	0	0	0	0	0.00181776868893433	0	0	0.00303908202681209	0	0.00142013178822995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054675073846853	0	0	0	0	0	0.000482844807998182	0	0	0	0	0	0	0	0.000397636900704385	0	0	0	0.00326630311292888	0.000170415814587594	0.00349352419904567	0.00207339241081572	0.000624857986821177	0	0	0	0	0	0	0	0	0	0	0	0.00181776868893433	0.00124971597364235	0	0	0.000766871165644172	0.00406157691433765	0	0.00173256078164054	0	0	0	0.00082367643717337	0	0	0	0	0	0	0	0	0	0	0.000142013178822995	0	0	0	0	0.000369234264939786	0	0	0	0	0	0	0.0194274028629857	0	0	0	0	0	0	0.00920245398773006	0.000482844807998182	0	0.0104237673256078	0	0	0	0.0307316518972961	0	0	0.139456941604181	0	0.00332310838445808	0	0.0104521699613724	0	0.00675982731197455	0
RTF038	0	0	0	0	0	0	0	0	0	0	0.000126081145825453	0	0	0	0	0	0	0.0800110951408326	0.000579973270797085	0.0532314597675064	0	0.0126081145825453	0	0	0.0212068487278412	0.000226946062485816	7.5648687495272e-05	0	0	0	0	0	0	0	0.0204503618528885	0.0018912171873818	0.000126081145825453	0	0	0	0	0.000428675895806541	0.00446327256222105	0	0	0	0	0	0	0	0	0	0	0.021131200040346	0	0	0	0	0	0	0.262500945608594	0	0	0	0	0	0	0	0	0	0	0.00332854224979197	0	0	0	0	0	0	0	0	0.0230728496860579	0.00184078472905162	0	0.000327810979146178	0	0	0	0.000201729833320725	0.00156340620823562	0	0.0149784401240638	0	0	7.5648687495272e-05	0	0.00922913987442318	0.00864916660362609	0	0.000100864916660363	0	0	0	0.0122046549159039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000554757041631994	0	0	0	0	0	0.00113473031242908	0	0.0289734473106892	0	0	0	0	0	0	0	0	0	0	0	0	0.000176513604155635	0.000302594749981088	0.000882568020778173	0	0	0.0013616763749149	0	0	0.00179035227072144	0	0	0.000327810979146178	0	0	0	0	0.0112968706659606	0	0	0.00168948735406107	0	0	0.000252162291650906	0	0.00423632649973523	0.136722394533122	0.000176513604155635	0	0.000529540812466904	0.00226946062485816	0	0.00103386539576872	0	0	0	0	0	0.000126081145825453	0	0.000857351791613082	0	0.000731270645787629	0.000100864916660363	7.5648687495272e-05	0	0	0	0	0.000151297374990544	0	0	0	0	0	0	0.000100864916660363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00446327256222105	0.0750434979953098	0	0	0	0	0	0.00040345966664145	0	0	0	0	0	0	0	0.00158862243740071	0	0	0	0.00257205537483925	0.000176513604155635	0.021131200040346	0	0.00123559522908944	0	0	0	0	0	0	0	0	0	0	0	0.0120785737700784	0.00933000479108354	0	0	0	0.00078170310411781	0	0.00274856897899488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00037824343747636	0	0.000252162291650906	0.000126081145825453	0	0	0	0	0	0	0.0104899513326777	0	0	0	0	0	0	0.00408502912474469	0.000201729833320725	0	0.00418589404140505	0	0	0	0.0151297374990544	0	0	0.0802380412033185	0	0.00123559522908944	0	0.00163905489573089	0	0	0
RTF039	0	0	0	0	0	0	0	0	0	0	0	0.000180289815879026	0	0	0	0	0	0.0967029499921123	0.00074369549050098	0.0230094877515606	0	0.00791021567169225	0.000473260766682442	0	0.0355396299551529	0	4.50724539697564e-05	0	0	0	0	0	0.000383115858742929	0	0.0294999211232056	0.00182543438577513	0	0	0	0	0	0.000563405674621955	0.00428188312712686	0	0	0	0	0	0	0	0	0.000180289815879026	0	0.0128231131543957	0	0	0	0	0	0	0.13693011516012	0.000315507177788295	0	0	0	0	0	0	0	0	0	0.00331282536677709	0	0	0	0	0	0	0	0	0.0024789849683366	0.000135217361909269	0	0.000157753588894147	0	0	0	0.00660311450656931	0.0029973181889888	0	0.0225587632118631	0	0	0	0	0.0128681856083654	0.0169021702386586	0	0	0	6.76086809546346e-05	0	0.0766457079755707	0	0	0	0	0	0	0	0	0.000135217361909269	0	0	0	0	0	0.000563405674621955	0	0	0	0	0	0.000991593987334641	0	0.0166317355148401	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00148739098100196	0.00180289815879026	0	0	0.000946521533364884	0	0	0.00105920266828928	0	0.000563405674621955	0.000180289815879026	0	0	0	0	0.00718905640817614	0	0	0.00193811552069952	0	0	0.000540869447637077	0	0.00793275189867712	0.147544678069998	0	0	0.00101413021431952	0.00135217361909269	0	0.00245644874135172	0.00087891285241025	0	0	0	0	0	0	0.0054763031573254	0	0.00121695625718342	0.000270434723818538	0.000292970950803417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0027944921461249	0.0668875216911185	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000540869447637077	0	0	0	0.003515651409641	0	0.0152570256687625	0	0.000608478128591711	0	0	0	0	0	0	0	0	0	0	0	0.00644536091767516	0.00290717328104929	0	0	0.000157753588894147	0.00369594122552002	0	0.000698623036531224	0	0	0	9.01449079395128e-05	0.000112681134924391	0	0	0	0	0	0	0	0	0	0	0	0.000135217361909269	0.000202826042863904	0.000428188312712686	0.00114934757622879	0	0	0	0	0	0	0.0166317355148401	0	0	0	0	0	0	0.00763978094787371	0.000563405674621955	0	0.00996101232731616	0	0	0	0.0282604286390373	0	0	0.122867509521556	0	0.00448470916999076	0	0.00536362202240101	0	0	0
RTF040	0	0	0	0	0	0	0	0	0	0	0.000515118734868387	0.000154535620460516	0	0	0	0	0	0.010070571266677	0	0.372121774068923	0	0.02794519136661	0.00991603564621645	0	0.00703137073095348	0.00128779683717097	0	0	0	0	0	0	0	0	0.00406943800546026	0.000231803430690774	0	0	0	0	0	0	0.000540874671611807	0	0	0	0	0	0	0	0	0	0	0.00504816360171019	0	0	0	0	0	0	0.321717405862051	0	0	0	0	0	0	0	0	0	0	0.00175140369855252	0	0	0	0	0	0	0	0	0.00316798021944058	0.000746922165559161	0	0	0	0	0	0.00041209498789471	0.000824189975789419	0	0.00298768866223665	0	0	0	0	0.00164837995157884	0.00154535620460516	0	0	0	0	0	0.00556328233657858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.15118734868387e-05	0	0	0	0	0	0.000103023746973677	0	0.0291299644568073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000824189975789419	0	0	0.00337402771338794	0	0	0.000180291557203936	0	0	0	0	0.0065162519960851	0	0	0.00157111214134858	0	0	0.000901457786019678	0	0.000952969659506516	0.0738165147066399	0	0	0.000128779683717097	0.000437850924638129	0	0	0	0	0	0	0	0.000128779683717097	0	0.000772678102302581	0	0	0	0.000540874671611807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00443002111986813	0.0352083655282543	0	0	0	0	0	0	0	0.000231803430690774	0	0	0	0	0	0	0	0	0	0.000334827177664452	0	0.00981301189924278	0	0.000849945912532839	0	0	0	0	0	0	0	0	0	0	0	0.0101478390769072	0.00540874671611806	0	0	0	0.000540874671611807	0	0.00291042085200639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169989182506568	0	0	0	0	0	0	0	0	0	0.00285890897851955	0	0	0	0	0	0	0.000489362798124968	0	0	0.00131355277391439	0	0	0	0.00206047493947355	0	0	0.0213516715602946	0	0.000618142481842065	0	0.00100448153299335	0	0	0
