feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Plesiomonas	Total.Worm.Count	Total.Worm.Count	-0.537842314527333	0.070969214173311	119	96	9.00406775805332e-12	2.74624066620626e-09
Bryobacter	Total.Worm.Count	Total.Worm.Count	0.101644333869051	0.0139340330253074	119	7	3.86910018983973e-11	5.90037778950559e-09
Cetobacterium	Total.Worm.Count	Total.Worm.Count	-0.572409285901292	0.0840780928006406	119	104	4.49900810495569e-10	4.57399157337162e-08
ZOR0006	Total.Worm.Count	Total.Worm.Count	-0.469163865129904	0.0702844689364284	119	88	8.69137697741488e-10	6.62717494527885e-08
Rhizobacter	Total.Worm.Count	Total.Worm.Count	0.264399088183882	0.0417086713560321	119	25	4.48553655200774e-09	2.73617729672472e-07
Hassallia	Total.Worm.Count	Total.Worm.Count	0.142339982842391	0.0228820814872848	119	9	7.93409063498198e-09	3.71593489947435e-07
OM27.clade	Total.Worm.Count	Total.Worm.Count	0.0824106653747684	0.0133281954594779	119	7	9.4878978947974e-09	3.71593489947435e-07
Sutterellaceae.Genus	Total.Worm.Count	Total.Worm.Count	-0.431103792406379	0.0697856191422872	119	91	9.74671449042453e-09	3.71593489947435e-07
Rhodospirillales.Genus	Total.Worm.Count	Total.Worm.Count	0.165449070612207	0.027958829533042	119	9	3.32885684997845e-08	1.12811259915936e-06
DEV008	Total.Worm.Count	Total.Worm.Count	0.06308457676916	0.0109283325238772	119	4	6.53163291207117e-08	1.90749192819945e-06
Hirschia	Total.Worm.Count	Total.Worm.Count	0.0930743297129274	0.0161550022051351	119	4	6.8794790853095e-08	1.90749192819945e-06
Inhella	Total.Worm.Count	Total.Worm.Count	0.183570616005241	0.0322931209828732	119	12	9.79435546011147e-08	2.29790647333385e-06
X.Agitococcus..lubricus.group	Total.Worm.Count	Total.Worm.Count	0.238836964365317	0.0419906867297974	119	11	9.64537284586605e-08	2.29790647333385e-06
Terrimonas	Total.Worm.Count	Total.Worm.Count	0.117828547964848	0.0212175823207446	119	8	1.78018848492693e-07	3.6197165860181e-06
Luteimonas	Total.Worm.Count	Total.Worm.Count	0.19839941886003	0.03569653411832	119	15	1.74347703601634e-07	3.6197165860181e-06
Nordella	Total.Worm.Count	Total.Worm.Count	0.185281588673127	0.0341293824349634	119	24	3.11806333588791e-07	5.59417245556361e-06
OM190.Genus	Total.Worm.Count	Total.Worm.Count	0.310238006382628	0.0570158094271309	119	23	2.94889785212826e-07	5.59417245556361e-06
SM1A02	Total.Worm.Count	Total.Worm.Count	0.353088903534797	0.0669478884386357	119	51	6.19562905368121e-07	1.04981492298487e-05
Sphingorhabdus	Total.Worm.Count	Total.Worm.Count	0.168847622414156	0.0332235235509649	119	11	1.42979208094163e-06	2.2038898608058e-05
Curvibacter	Total.Worm.Count	Total.Worm.Count	0.184567305129176	0.0363343733923336	119	14	1.44517367921692e-06	2.2038898608058e-05
RBG.13.54.9.Genus	Total.Worm.Count	Total.Worm.Count	0.166265428884739	0.0331620919452835	119	7	1.91844422860178e-06	2.43802287384809e-05
Caldilineaceae.Genus	Total.Worm.Count	Total.Worm.Count	0.108192257791646	0.0215609003722596	119	11	1.88375278841011e-06	2.43802287384809e-05
Ferruginibacter	Total.Worm.Count	Total.Worm.Count	0.204134180342697	0.0405280709774884	119	14	1.73740441236036e-06	2.43802287384809e-05
Paucibacter	Total.Worm.Count	Total.Worm.Count	-0.373488153258081	0.0743020410325016	119	97	1.81536050782196e-06	2.43802287384809e-05
Verrucomicrobiaceae.Genus	Total.Worm.Count	Total.Worm.Count	0.168913363775377	0.0338365359073023	119	9	2.10463006341603e-06	2.56764867736756e-05
Gemmatimonadaceae.Genus	Total.Worm.Count	Total.Worm.Count	0.264397451098163	0.0531841555824124	119	33	2.29858271511328e-06	2.69641433888289e-05
X11.24.Genus	Total.Worm.Count	Total.Worm.Count	0.0960326438358321	0.0197281678037874	119	11	3.56246100342919e-06	4.02426150387372e-05
Chitinophagaceae.Genus	Total.Worm.Count	Total.Worm.Count	0.140825294473582	0.0292819850417835	119	9	4.55207767003248e-06	4.95851317628538e-05
Ideonella	Total.Worm.Count	Total.Worm.Count	0.105299556742814	0.0222771192446857	119	10	6.41148364547346e-06	6.51834170623135e-05
Oikopleura	Total.Worm.Count	Total.Worm.Count	0.311181237823039	0.065757261257665	119	38	6.268213056793e-06	6.51834170623135e-05
Gaiella	Total.Worm.Count	Total.Worm.Count	0.0958408842494418	0.0203643613786185	119	5	6.97728270959208e-06	6.86474589169543e-05
Rhizorhapis	Total.Worm.Count	Total.Worm.Count	0.0617398780974578	0.0131852529833551	119	3	7.69528160252554e-06	7.33456527740715e-05
Desulfobacterota.Genus	Total.Worm.Count	Total.Worm.Count	0.191210176379401	0.0418005628433423	119	31	1.19612551211177e-05	0.000110361906934092
Ahniella	Total.Worm.Count	Total.Worm.Count	0.0454243862372792	0.00994536862672515	119	6	1.23026388057676e-05	0.000110361906934092
Rheinheimera	Total.Worm.Count	Total.Worm.Count	0.15194825719158	0.0337893512605368	119	7	1.63376698450094e-05	0.000138416369520218
Coxiella	Total.Worm.Count	Total.Worm.Count	0.0740396772219166	0.0164636029697357	119	6	1.63215727584485e-05	0.000138416369520218
Haliangium	Total.Worm.Count	Total.Worm.Count	0.270238700145758	0.060429888822799	119	26	1.80547660676503e-05	0.000148829828395496
Isosphaeraceae.Genus	Total.Worm.Count	Total.Worm.Count	0.149224093124797	0.0335433451819683	119	17	1.98072548838666e-05	0.000158979282620508
JGI.0001001.H03	Total.Worm.Count	Total.Worm.Count	0.0396370020802798	0.00910604034325537	119	4	2.8931009058067e-05	0.000226255327248986
Nitrospira	Total.Worm.Count	Total.Worm.Count	0.27200703485404	0.0627020373642795	119	40	3.06515607314967e-05	0.000233718150577662
Haliscomenobacter	Total.Worm.Count	Total.Worm.Count	0.228388223177196	0.0528747438672559	119	16	3.2973144738422e-05	0.000245288027932163
Vicinamibacteraceae.Genus	Total.Worm.Count	Total.Worm.Count	0.14655851760506	0.0346790586257623	119	10	4.73445306700019e-05	0.000343811472722633
Microtrichales.Genus	Total.Worm.Count	Total.Worm.Count	-0.253372018342141	0.0605467676849806	119	89	5.55006184234284e-05	0.000393667177189434
Armatimonadota.Genus	Total.Worm.Count	Total.Worm.Count	0.139892286127577	0.0336096984259556	119	8	6.04751480105539e-05	0.000419202730527703
